record_id,user_id,food_id,recipe_id,restaurant_id,mood,emotion,weather,season,disease_context,calorie_target,recommended_at,score,reason,status
rec_0000012,user_00085,food_000347,recipe_000165,,Adventurous,romantic,Heatwave,Christmas,Thyroid,1489.0,2026-07-27T05:15:57.936470+00:00,0.499,Cut decision any environment color TV discussion evidence measure yeah.,served
rec_0000013,user_00045,food_000406,recipe_000047,,Cozy,pensive,Cold,Diwali,,1939.0,2026-07-27T05:15:57.936492+00:00,0.611,Building growth feel approach involve tonight dream doctor future store million.,recommended
rec_0000014,user_00178,food_000311,recipe_000011,restaurant_00006,Festive,mellow,Cloudy,Citrus Season,,2596.0,2026-07-27T05:15:57.936512+00:00,0.648,Anyone effort get voice until staff these know clearly sing fire than recognize yes.,recommended
rec_0000015,user_00101,food_000494,recipe_000053,,Sunny,relaxed,Cold,Thanksgiving,,1851.0,2026-07-27T05:15:57.936533+00:00,0.655,Any organization local wide past seek suggest deep lot discover anything later while source.,recommended
rec_0000016,user_00136,food_000261,recipe_000114,restaurant_00098,Comforting,confident,Festive,Berry Season,,1551.0,2026-07-27T05:15:57.936554+00:00,0.442,Establish mind summer could chance organization outside set civil others.,served
rec_0000017,user_00107,food_000332,,restaurant_00152,Comfort,determined,Cloudy,Autumn,,1796.0,2026-07-27T05:15:57.936574+00:00,0.684,Get record down grow building reflect might firm animal such boy political difference event want any.,served
rec_0000018,user_00072,food_000247,recipe_000071,restaurant_00115,Relaxed,energetic,Holiday,Berry Season,Arthritis,1434.0,2026-07-27T05:15:57.936596+00:00,0.443,Bank civil series throw know smile support story he cause person.,served
rec_0000019,user_00195,food_000370,recipe_000134,restaurant_00196,Cheerful,relieved,Stormy,Cold Weather,Cholesterol,2566.0,2026-07-27T05:15:57.936617+00:00,0.5,Suggest information hot push with development reveal a.,served
rec_0000020,user_00151,food_000365,recipe_000067,,Sweet,relieved,Rainy,Eid,,2302.0,2026-07-27T05:15:57.936636+00:00,0.388,Lose lead activity professor what present store tax leg Democrat hot stage fill.,skipped
rec_0000021,user_00151,food_000184,recipe_000189,,Social,romantic,Rainy,Warm Weather,,1852.0,2026-07-27T05:15:57.936656+00:00,0.387,Expert scientist per knowledge item population miss morning blue individual.,recommended
rec_0000022,user_00127,food_000005,recipe_000066,restaurant_00195,Peaceful,playful,Heatwave,Thanksgiving,,2079.0,2026-07-27T05:15:57.936675+00:00,0.562,Leave such send hundred manager gun local of trip top.,skipped
rec_0000023,user_00152,food_000457,,restaurant_00170,Spicy,curious,Humid,Festive,,1737.0,2026-07-27T05:15:57.936695+00:00,0.795,Where between cover catch whose bed cause.,served
rec_0000024,user_00195,food_000392,,,Calm,stressed,Dry,Spring,,2444.0,2026-07-27T05:15:57.936713+00:00,0.655,White nothing reality political significant cover control fund local sport central move tell admit.,recommended
rec_0000025,user_00138,food_000373,,restaurant_00109,Happy,confident,Monsoon,Summer Vacation,Thyroid,1970.0,2026-07-27T05:15:57.936734+00:00,0.524,Piece city compare rock either measure seven generation item husband line director.,skipped
rec_0000026,user_00123,food_000499,,,Cheerful,satisfied,Holiday,Ramadan,,1562.0,2026-07-27T05:15:57.936753+00:00,0.459,Coach product remain father low should house power western arrive whether quality third owner.,skipped
rec_0000027,user_00021,food_000481,recipe_000089,restaurant_00182,Cheerful,tired,Humid,Summer Vacation,,2400.0,2026-07-27T05:15:57.936773+00:00,0.489,Financial product assume perhaps carry top ground event account claim soldier ability study.,recommended
rec_0000028,user_00071,food_000045,recipe_000017,restaurant_00075,Peaceful,playful,Humid,Thanksgiving,,1646.0,2026-07-27T05:15:57.936793+00:00,0.879,Author camera might do professor picture son no radio truth front compare each.,served
rec_0000029,user_00158,food_000317,recipe_000066,,Festive,tired,Thunderstorm,Eid,,1547.0,2026-07-27T05:15:57.936813+00:00,0.83,Buy relate such one wife road management far possible marriage lay.,recommended
rec_0000030,user_00080,food_000455,,,Peaceful,tired,Thunderstorm,New Year,,1416.0,2026-07-27T05:15:57.936832+00:00,0.93,Group identify kind bill open it race marriage hit.,served
rec_0000031,user_00145,food_000490,,restaurant_00048,Energized,satisfied,Windy,Christmas,,1477.0,2026-07-27T05:15:57.936852+00:00,0.359,Rate drug nature writer executive right final drive although exist strategy risk.,bookmarked
rec_0000032,user_00148,food_000244,recipe_000040,,Festive,anxious,Snowy,Summer Vacation,,2508.0,2026-07-27T05:15:57.936872+00:00,0.846,Soldier candidate east thought eight major arm throughout audience clear east table growth early pretty month.,skipped
rec_0000033,user_00079,food_000396,recipe_000043,,Cozy,lonely,Rainy,Warm Weather,,1920.0,2026-07-27T05:15:57.936892+00:00,0.601,Throw car growth speech of raise visit box election most in quality.,served
rec_0000034,user_00022,food_000412,recipe_000130,restaurant_00071,Comfort,pensive,Dry,Harvest,,2533.0,2026-07-27T05:15:57.936912+00:00,0.303,Stay near side everyone room husband any school instead thought professional just he local.,bookmarked
rec_0000035,user_00057,food_000225,recipe_000096,restaurant_00135,Sunny,playful,Monsoon,Autumn,,2068.0,2026-07-27T05:15:57.936932+00:00,0.48,Avoid return end wide heart general lot letter expect early.,recommended
rec_0000036,user_00005,food_000177,,,Sunny,melancholic,Festive,Thanksgiving,,1947.0,2026-07-27T05:15:57.936949+00:00,0.943,Project site by air anything kitchen smile strategy than matter high forward style easy.,recommended
rec_0000037,user_00163,food_000359,,,Cheerful,relieved,Dry,Christmas,,2012.0,2026-07-27T05:15:57.936969+00:00,0.731,Have enter knowledge process customer any else lay four must structure argue actually.,served
rec_0000038,user_00028,food_000307,recipe_000182,restaurant_00090,Cozy,serene,Snowy,Summer Vacation,,1487.0,2026-07-27T05:15:57.936989+00:00,0.418,Gas all us him fall book activity what worry follow race.,served
rec_0000039,user_00092,food_000497,,restaurant_00167,Social,lonely,Stormy,Winter,,2329.0,2026-07-27T05:15:57.937009+00:00,0.535,Few fight type world cold item stay bill back director fear instead authority.,bookmarked
rec_0000040,user_00141,food_000072,,,Focused,confident,Foggy,Harvest,,2159.0,2026-07-27T05:15:57.937027+00:00,0.574,Doctor say buy player author expert campaign even successful place pay easy half.,bookmarked
rec_0000041,user_00074,food_000384,,,Savory,energetic,Sunny,Ramadan,,1568.0,2026-07-27T05:15:57.937045+00:00,0.76,Teach ok several sell house before though million region ago style site role hot.,served
rec_0000042,user_00156,food_000259,,,Comforting,excited,Snowy,Warm Weather,,1967.0,2026-07-27T05:15:57.937065+00:00,0.506,Foot memory drop customer much produce exist future hold current work single population administration.,bookmarked
rec_0000043,user_00155,food_000400,,,Romantic,confident,Foggy,Berry Season,,2464.0,2026-07-27T05:15:57.937084+00:00,0.824,Join detail will perform I draw water.,skipped
rec_0000044,user_00133,food_000400,recipe_000170,restaurant_00070,Motivated,serene,Thunderstorm,Eid,,2053.0,2026-07-27T05:15:57.937102+00:00,0.702,Among hundred pressure generation as tough year fact authority cultural million property heart whose as.,served
rec_0000045,user_00124,food_000010,,,Savory,content,Dry,Citrus Season,,1855.0,2026-07-27T05:15:57.937120+00:00,0.979,Billion maybe admit tax behind threat stay add event blue least.,recommended
rec_0000046,user_00138,food_000242,recipe_000027,,Cozy,pensive,Holiday,Festive,,1405.0,2026-07-27T05:15:57.937139+00:00,0.873,Owner believe fine bad fear stuff involve stop plant last where four miss.,bookmarked
rec_0000047,user_00197,food_000314,recipe_000014,,Calm,adventurous,Windy,Eid,,2349.0,2026-07-27T05:15:57.937159+00:00,0.622,American health from just instead discuss cause collection similar manager whatever store.,served
rec_0000048,user_00170,food_000025,,restaurant_00165,Festive,serene,Breezy,New Year,,1938.0,2026-07-27T05:15:57.937178+00:00,0.466,Piece future east doctor take pattern school military paper.,served
rec_0000049,user_00169,food_000135,recipe_000124,,Comforting,stressed,Breezy,Summer Vacation,,1921.0,2026-07-27T05:15:57.937196+00:00,0.372,Fish road consider anything right executive staff Democrat natural.,bookmarked
rec_0000050,user_00070,food_000332,recipe_000163,,Romantic,playful,Seasonal,Navratri,,2166.0,2026-07-27T05:15:57.937213+00:00,0.623,Itself arm activity candidate age partner word edge national employee loss month.,bookmarked
rec_0000051,user_00039,food_000122,recipe_000138,,Comforting,stressed,Seasonal,Winter,,2592.0,2026-07-27T05:15:57.937233+00:00,0.842,Green to eat course have often newspaper bank move commercial thought style possible happy.,bookmarked
rec_0000052,user_00125,food_000383,recipe_000125,,Peaceful,calm,Thunderstorm,Christmas,Kidney Disease,2487.0,2026-07-27T05:15:57.937254+00:00,0.834,Central ability huge its newspaper character also agreement base system kitchen arm base pull none.,bookmarked
rec_0000053,user_00161,food_000328,,,Focused,nostalgic,Dry,Citrus Season,,2018.0,2026-07-27T05:15:57.937273+00:00,0.606,Same certain there discuss administration probably source drug no.,bookmarked
rec_0000054,user_00005,food_000239,,,Sweet,serene,Windy,Valentine,,2409.0,2026-07-27T05:15:57.937290+00:00,0.762,Since authority number give own necessary country tree very smile.,recommended
rec_0000055,user_00185,food_000415,recipe_000178,,Nostalgic,calm,Seasonal,Eid,,2571.0,2026-07-27T05:15:57.937308+00:00,0.535,Seat card after enjoy key into crime feel shake their artist receive.,served
rec_0000056,user_00133,food_000365,,restaurant_00096,Sunny,melancholic,Windy,Back to School,Celiac Disease,2195.0,2026-07-27T05:15:57.937330+00:00,0.37,Which six and accept cup understand person model large business baby number term hand.,served
rec_0000057,user_00118,food_000179,recipe_000008,restaurant_00011,Romantic,serene,Rainy,Christmas,,1952.0,2026-07-27T05:15:57.937353+00:00,0.696,Democrat executive I together as house outside difficult parent blue debate rate.,recommended
rec_0000058,user_00140,food_000222,recipe_000046,restaurant_00081,Cheerful,curious,Windy,Christmas,,1719.0,2026-07-27T05:15:57.937373+00:00,0.376,Certain home single someone become degree level.,bookmarked
rec_0000059,user_00149,food_000415,recipe_000171,restaurant_00150,Cozy,serene,Misty,New Year,,1805.0,2026-07-27T05:15:57.937392+00:00,0.846,Social memory conference water successful there tough cost history.,recommended
rec_0000060,user_00062,food_000189,recipe_000092,restaurant_00153,Cozy,melancholic,Monsoon,Spring,,1672.0,2026-07-27T05:15:57.937411+00:00,0.668,Career very believe image bank somebody between offer poor bit wait notice take.,skipped
rec_0000061,user_00070,food_000399,,,Comforting,satisfied,Windy,Harvest,,1552.0,2026-07-27T05:15:57.937428+00:00,0.488,Service argue partner bed have control choose lot whole.,served
rec_0000062,user_00155,food_000240,recipe_000080,,Nostalgic,tired,Stormy,Thanksgiving,,1860.0,2026-07-27T05:15:57.937448+00:00,0.516,Phone recently party no remember address professional every citizen by development decade fill reduce finish.,recommended
rec_0000063,user_00114,food_000394,recipe_000017,restaurant_00069,Peaceful,joyful,Dry,Winter,,2334.0,2026-07-27T05:15:57.937469+00:00,0.765,Itself enter remain he success adult story million part many.,skipped
rec_0000064,user_00094,food_000397,recipe_000094,restaurant_00040,Sunny,satisfied,Sunny,Summer Vacation,Liver Health,2101.0,2026-07-27T05:15:57.937487+00:00,0.425,Whom machine billion talk move assume finish worker big entire next future weight sea.,recommended
rec_0000065,user_00061,food_000460,recipe_000152,restaurant_00182,Relaxed,anxious,Heatwave,Summer Vacation,,2594.0,2026-07-27T05:15:57.937506+00:00,0.372,Kitchen prove sport quickly home your none well artist time seek debate similar.,skipped
rec_0000066,user_00173,food_000066,recipe_000043,,Focused,relaxed,Humid,Christmas,Hypertension,2599.0,2026-07-27T05:15:57.937546+00:00,0.638,True space culture heart market film more situation stuff listen staff town focus.,skipped
rec_0000067,user_00086,food_000415,recipe_000079,,Cheerful,serene,Foggy,Citrus Season,,2173.0,2026-07-27T05:15:57.937571+00:00,0.931,Evidence nothing morning represent section number about course it.,skipped
rec_0000068,user_00047,food_000192,recipe_000082,,Relaxed,calm,Heatwave,Autumn,,2490.0,2026-07-27T05:15:57.937590+00:00,0.759,Hear group information little ready former least experience.,bookmarked
rec_0000069,user_00022,food_000110,,,Peaceful,joyful,Warm,Monsoon,Arthritis,2505.0,2026-07-27T05:15:57.937609+00:00,0.369,Member environmental step magazine threat build perform concern fast.,skipped
rec_0000070,user_00114,food_000429,recipe_000110,restaurant_00200,Romantic,lonely,Foggy,Ramadan,,1932.0,2026-07-27T05:15:57.937629+00:00,0.564,Shake film it ok senior very realize great make training majority hotel investment cold her smile.,skipped
rec_0000071,user_00043,food_000015,recipe_000067,restaurant_00063,Social,nostalgic,Warm,Valentine,,1599.0,2026-07-27T05:15:57.937648+00:00,0.377,Reflect weight oil hour central hold present daughter clearly service number assume possible.,recommended
rec_0000072,user_00044,food_000278,,,Social,joyful,Heatwave,Ramadan,,2208.0,2026-07-27T05:15:57.937666+00:00,0.935,That its friend more international win plant laugh business natural.,recommended
rec_0000073,user_00124,food_000024,recipe_000003,restaurant_00170,Happy,confident,Windy,Cold Weather,,2352.0,2026-07-27T05:15:57.937685+00:00,0.56,Air a arm well political cell despite several leader hear major.,bookmarked
rec_0000074,user_00001,food_000248,recipe_000124,restaurant_00017,Cozy,hopeful,Windy,Ramadan,Obesity,2517.0,2026-07-27T05:15:57.937704+00:00,0.661,Yet job star front partner spring somebody southern like.,recommended
rec_0000075,user_00144,food_000026,recipe_000027,restaurant_00148,Calm,melancholic,Stormy,Festive,,2009.0,2026-07-27T05:15:57.937723+00:00,0.751,Turn ok produce brother pressure attorney analysis also.,recommended
rec_0000076,user_00066,food_000315,recipe_000077,,Savory,excited,Misty,Spring,,1872.0,2026-07-27T05:15:57.937741+00:00,0.72,Take future major outside until defense question tend behind power plant wear cell matter.,served
rec_0000077,user_00100,food_000402,recipe_000146,,Sweet,relieved,Monsoon,Citrus Season,Obesity,1667.0,2026-07-27T05:15:57.937761+00:00,0.532,Serious kitchen now nor pattern throw specific down piece personal baby decide page also.,served
rec_0000078,user_00181,food_000493,recipe_000175,,Spicy,excited,Cold,Cold Weather,,1784.0,2026-07-27T05:15:57.937781+00:00,0.574,Including often executive activity just material late believe.,skipped
rec_0000079,user_00149,food_000201,recipe_000003,,Focused,calm,Warm,New Year,PCOS,2215.0,2026-07-27T05:15:57.937800+00:00,0.803,Choose she indeed imagine grow determine size prove American sport sure body spend.,bookmarked
rec_0000080,user_00044,food_000206,recipe_000036,,Cozy,inspired,Sunny,Cold Weather,,2332.0,2026-07-27T05:15:57.937818+00:00,0.553,Discussion part point black door partner cover design national it treatment several help.,bookmarked
rec_0000081,user_00132,food_000006,,restaurant_00155,Calm,bored,Cold,Cold Weather,,2431.0,2026-07-27T05:15:57.937836+00:00,0.871,Choice land president before board modern have window sister simply interesting color day short its.,skipped
rec_0000082,user_00175,food_000430,recipe_000022,,Comforting,serene,Stormy,Navratri,,2383.0,2026-07-27T05:15:57.937857+00:00,0.515,Garden over store guy price political be see important difference glass between time finally he agency.,bookmarked
rec_0000083,user_00097,food_000294,,restaurant_00089,Romantic,joyful,Humid,Summer,,1581.0,2026-07-27T05:15:57.937877+00:00,0.404,Assume loss understand with century option economy small democratic owner president now rule sister generation gun.,skipped
rec_0000084,user_00049,food_000045,recipe_000095,restaurant_00163,Sweet,focused,Monsoon,Warm Weather,,1851.0,2026-07-27T05:15:57.937897+00:00,0.534,Treatment green suddenly much hundred statement energy middle enter lose girl full forward if.,recommended
rec_0000085,user_00026,food_000253,recipe_000021,restaurant_00180,Comfort,bored,Rainy,Eid,,2325.0,2026-07-27T05:15:57.937916+00:00,0.926,Feeling no here also environment west you agent discuss paper.,bookmarked
rec_0000086,user_00019,food_000067,,restaurant_00098,Comfort,relaxed,Cloudy,Christmas,,1874.0,2026-07-27T05:15:57.937935+00:00,0.825,Indeed avoid scientist indeed join miss himself.,bookmarked
rec_0000087,user_00054,food_000123,recipe_000144,,Spicy,serene,Misty,Back to School,,2292.0,2026-07-27T05:15:57.937952+00:00,0.892,Walk guess plan later let condition cost five resource these tough short activity.,served
rec_0000088,user_00100,food_000144,,,Sweet,pensive,Breezy,Citrus Season,,1877.0,2026-07-27T05:15:57.937973+00:00,0.882,New country process book arrive sport follow parent mouth owner.,recommended
rec_0000089,user_00195,food_000122,,,Festive,inspired,Thunderstorm,Back to School,,2423.0,2026-07-27T05:15:57.937990+00:00,0.918,Kid avoid page radio order money bag democratic wind single marriage across difference brother improve ability.,bookmarked
rec_0000090,user_00088,food_000060,recipe_000078,restaurant_00137,Energized,inspired,Cool,Back to School,,1844.0,2026-07-27T05:15:57.938010+00:00,0.882,Mrs specific art car American catch avoid early story him prepare discuss court worry structure.,served
rec_0000091,user_00089,food_000199,,,Nostalgic,hopeful,Monsoon,Spring,,2595.0,2026-07-27T05:15:57.938029+00:00,0.915,Home here work wonder authority soldier save interesting baby office.,bookmarked
rec_0000092,user_00149,food_000368,recipe_000123,,Romantic,calm,Windy,Spring,,2579.0,2026-07-27T05:15:57.938045+00:00,0.626,Necessary yet season feeling thought improve list me may.,bookmarked
rec_0000093,user_00116,food_000186,,restaurant_00108,Cheerful,serene,Snowy,Summer Vacation,,2333.0,2026-07-27T05:15:57.938062+00:00,0.405,Public debate write back thing degree wrong bed.,recommended
rec_0000094,user_00175,food_000296,,restaurant_00069,Comfort,energetic,Dry,Warm Weather,Arthritis,1928.0,2026-07-27T05:15:57.938080+00:00,0.96,Dream onto member very structure describe player entire community marriage between which medical.,recommended
rec_0000095,user_00136,food_000440,,,Cozy,playful,Holiday,Berry Season,Liver Health,2235.0,2026-07-27T05:15:57.938099+00:00,0.347,Stand exist tough wrong last where almost.,skipped
rec_0000096,user_00105,food_000401,recipe_000009,restaurant_00114,Motivated,determined,Breezy,Back to School,,2359.0,2026-07-27T05:15:57.938118+00:00,0.328,Leader me level open nice magazine opportunity heart should station know statement or get significant like.,skipped
rec_0000097,user_00146,food_000290,recipe_000105,,Calm,optimistic,Breezy,Warm Weather,Cholesterol,2309.0,2026-07-27T05:15:57.938135+00:00,0.348,Make citizen even military choice white gun base everything financial age professional.,served
rec_0000098,user_00015,food_000485,recipe_000062,restaurant_00032,Adventurous,lonely,Festive,Thanksgiving,Lactose Intolerance,1466.0,2026-07-27T05:15:57.938154+00:00,0.581,Model sound short pattern sign city whether.,skipped
rec_0000099,user_00074,food_000104,,,Calm,melancholic,Snowy,Harvest,,1870.0,2026-07-27T05:15:57.938171+00:00,0.474,Area friend get total there find hundred feel.,recommended
rec_0000100,user_00006,food_000404,recipe_000182,restaurant_00097,Sweet,content,Stormy,Winter,,2104.0,2026-07-27T05:15:57.938189+00:00,0.752,By training expert will final member book again us ago education her skill everything read charge.,skipped
rec_0000101,user_00088,food_000225,recipe_000101,,Adventurous,tired,Cool,Summer,Anemia,1896.0,2026-07-27T05:15:57.938207+00:00,0.633,Your himself where dark nice down try behind.,served
rec_0000102,user_00009,food_000403,,restaurant_00065,Peaceful,determined,Seasonal,Navratri,,2380.0,2026-07-27T05:15:57.938224+00:00,0.838,Itself suggest goal far even sound affect from.,bookmarked
rec_0000103,user_00063,food_000055,,restaurant_00193,Peaceful,pensive,Sunny,Valentine,Anemia,2036.0,2026-07-27T05:15:57.938241+00:00,0.924,Reach ready professional case without recent such who military participant page eye peace better.,served
rec_0000104,user_00083,food_000127,recipe_000106,restaurant_00078,Adventurous,stressed,Warm,Winter,,2268.0,2026-07-27T05:15:57.938259+00:00,0.68,Player break stage child born begin like teacher that force kind many building poor power.,recommended
rec_0000105,user_00140,food_000204,,,Calm,relieved,Holiday,Monsoon,PCOS,1553.0,2026-07-27T05:15:57.938277+00:00,0.933,Debate public go thank newspaper be difference effort amount agent.,served
rec_0000106,user_00024,food_000319,recipe_000084,restaurant_00107,Social,inspired,Holiday,Monsoon,,2366.0,2026-07-27T05:15:57.938296+00:00,0.69,Have visit central case thought idea no west relationship fire born factor simply key relate radio.,recommended
rec_0000107,user_00041,food_000471,recipe_000128,,Relaxed,content,Humid,Diwali,,2237.0,2026-07-27T05:15:57.938314+00:00,0.42,Real through instead bed speech can late program billion choice board space decision.,served
rec_0000108,user_00122,food_000469,recipe_000101,,Romantic,confident,Sunny,New Year,Heart Disease,2509.0,2026-07-27T05:15:57.938333+00:00,0.684,Our off forward quickly thing current trial book participant according return truth deep.,served
rec_0000109,user_00121,food_000003,,,Energized,hopeful,Heatwave,Ramadan,,1562.0,2026-07-27T05:15:57.938349+00:00,0.404,Money common official finish wait have soldier miss must when form most five can news.,served
rec_0000110,user_00038,food_000349,,restaurant_00193,Comfort,excited,Monsoon,Eid,,1956.0,2026-07-27T05:15:57.938367+00:00,0.346,Become sign section forget possible behavior player.,bookmarked
rec_0000111,user_00136,food_000256,recipe_000169,restaurant_00018,Energized,mellow,Foggy,Christmas,,2355.0,2026-07-27T05:15:57.938385+00:00,0.52,Finally alone phone space yard true reveal amount standard paper second pretty he.,served
rec_0000112,user_00200,food_000051,,,Sweet,serene,Foggy,Valentine,Diabetes,1870.0,2026-07-27T05:15:57.938402+00:00,0.899,Finish very head good you both story above environmental in behavior.,recommended
rec_0000113,user_00015,food_000247,recipe_000197,,Spicy,pensive,Dry,Harvest,Anemia,2439.0,2026-07-27T05:15:57.938419+00:00,0.957,Type whole small memory country law plant none.,skipped
rec_0000114,user_00061,food_000353,recipe_000102,restaurant_00165,Comfort,confident,Rainy,Summer,,2087.0,2026-07-27T05:15:57.938437+00:00,0.607,Lay station read pull cover trade organization me manager enough bag forward good front scientist.,skipped
rec_0000115,user_00059,food_000069,recipe_000020,,Spicy,relaxed,Heatwave,Autumn,,2342.0,2026-07-27T05:15:57.938453+00:00,0.305,Be improve two activity throughout many itself.,bookmarked
rec_0000116,user_00012,food_000370,,,Savory,mellow,Monsoon,Monsoon,Heart Disease,2117.0,2026-07-27T05:15:57.938470+00:00,0.351,Owner site become others kind might blue white determine raise can culture son dream skin.,skipped
rec_0000117,user_00012,food_000062,recipe_000040,restaurant_00185,Comforting,anxious,Stormy,New Year,,2557.0,2026-07-27T05:15:57.938487+00:00,0.61,Spend court class off body identify free simply full me.,served
rec_0000118,user_00069,food_000295,recipe_000051,restaurant_00150,Cheerful,grateful,Humid,Warm Weather,,2103.0,2026-07-27T05:15:57.938504+00:00,0.67,Blood themselves plant project somebody experience Mrs suffer.,bookmarked
rec_0000119,user_00083,food_000416,,,Social,pensive,Festive,Citrus Season,,1978.0,2026-07-27T05:15:57.938521+00:00,0.715,Week wife although likely body wait guess instead less whole.,served
rec_0000120,user_00120,food_000172,recipe_000118,,Romantic,pensive,Cool,Festive,,2357.0,2026-07-27T05:15:57.938540+00:00,0.87,Writer decision answer bar wrong purpose enter son.,recommended
rec_0000121,user_00041,food_000198,,restaurant_00133,Spicy,nostalgic,Cloudy,Festive,,2577.0,2026-07-27T05:15:57.938558+00:00,0.957,Big idea coach budget Congress couple rock outside find environmental model.,recommended
rec_0000122,user_00187,food_000231,,restaurant_00112,Motivated,optimistic,Humid,Valentine,,2026.0,2026-07-27T05:15:57.938574+00:00,0.436,Election at can contain audience suddenly real five brother whom art manage talk.,bookmarked
rec_0000123,user_00078,food_000319,recipe_000133,,Savory,mellow,Misty,Eid,,2091.0,2026-07-27T05:15:57.938592+00:00,0.924,Many expect produce include last trade city free lose four site shoulder.,bookmarked
rec_0000124,user_00058,food_000458,recipe_000174,restaurant_00041,Savory,inspired,Rainy,New Year,,2493.0,2026-07-27T05:15:57.938611+00:00,0.747,Free mind interview three whom group official father spend company expect politics admit.,bookmarked
rec_0000125,user_00033,food_000151,recipe_000108,restaurant_00161,Comfort,relieved,Rainy,Warm Weather,,1534.0,2026-07-27T05:15:57.938630+00:00,0.589,Floor fine staff everything give daughter left those expect attack industry company economic talk argue run.,bookmarked
rec_0000126,user_00124,food_000117,recipe_000033,,Focused,playful,Misty,Monsoon,Obesity,1714.0,2026-07-27T05:15:57.938649+00:00,0.937,Of in computer senior listen girl cut some.,skipped
rec_0000127,user_00106,food_000401,recipe_000014,restaurant_00022,Festive,satisfied,Rainy,Autumn,,1703.0,2026-07-27T05:15:57.938666+00:00,0.622,Hair produce church safe seek only fund reality left senior prepare finish challenge less bring.,served
rec_0000128,user_00182,food_000059,recipe_000048,restaurant_00102,Nostalgic,excited,Foggy,Ramadan,,2072.0,2026-07-27T05:15:57.938685+00:00,0.591,He level investment couple answer wide analysis reveal bag western check continue control.,served
rec_0000129,user_00003,food_000325,,,Savory,pensive,Stormy,Harvest,,2480.0,2026-07-27T05:15:57.938703+00:00,0.98,These street continue performance success live provide chair.,bookmarked
rec_0000130,user_00115,food_000411,,,Spicy,romantic,Stormy,Citrus Season,,2254.0,2026-07-27T05:15:57.938720+00:00,0.772,Other teach hand surface treatment move to note effect defense.,recommended
rec_0000131,user_00123,food_000409,recipe_000091,,Savory,joyful,Humid,Festive,,1734.0,2026-07-27T05:15:57.938737+00:00,0.812,Ever grow economic career keep red bill memory write inside international full direction.,recommended
rec_0000132,user_00187,food_000400,,,Energized,relieved,Dry,Monsoon,,1432.0,2026-07-27T05:15:57.938755+00:00,0.697,Forget modern enjoy visit listen you after account operation born show force responsibility month week.,served
rec_0000133,user_00111,food_000154,recipe_000105,,Nostalgic,adventurous,Snowy,Back to School,,1910.0,2026-07-27T05:15:57.938773+00:00,0.881,Deep garden walk name group still start instead may owner fast.,bookmarked
rec_0000134,user_00082,food_000134,recipe_000014,restaurant_00073,Focused,romantic,Stormy,Autumn,,2409.0,2026-07-27T05:15:57.938790+00:00,0.713,Also which far future water wind lay thank choice.,served
rec_0000135,user_00189,food_000222,recipe_000094,restaurant_00069,Sweet,nostalgic,Festive,Harvest,,1873.0,2026-07-27T05:15:57.938807+00:00,0.772,Letter similar energy enjoy certainly official more wife finally.,recommended
