recipe_id,name,food_id,cuisine,region,difficulty,cooking_time_minutes,servings,calories,protein_g,fat_g,carbs_g,vitamins,minerals,ingredients,steps,mood_score,health_score,taste_score,ai_nutrition_score,dietary_tags,season,budget_level
recipe_000014,College Salad,food_000202,Latin American,Gujarat,easy,62,3,561,6.1,23.0,82.4,"{'Vitamin A': 0.18, 'Vitamin B6': 0.8, 'Vitamin C': 2.03, 'Vitamin D': 0.69, 'Vitamin E': 3.44}","{'Iron': 1.6, 'Calcium': 1.79, 'Magnesium': 1.51, 'Potassium': 1.37, 'Zinc': 1.86}","['onion', 'zucchini', 'avocado', 'pork', 'black beans', 'olive oil', 'pear', 'oregano', 'mayonnaise', 'vinegar', 'cabbage']","['High evening better participant actually town laugh decide focus fast themselves friend itself card.', 'There treat catch answer where air magazine quite within whose indeed money bill learn arm.', 'Cell mean performance task phone person food several where Republican.', 'Type decide wait protect discover receive push stuff avoid Congress majority music system seven example leave.', 'Too mind factor design miss store teach collection.', 'Home pattern particular like be may show source science number.', 'Approach animal have agent table way official collection especially here energy even American.']",78.5,89.1,67.9,78.5,"['High Protein', 'Pescatarian']",Monsoon,premium
recipe_000015,Something Grill,food_000162,Indonesian,Tamil Nadu,intermediate,100,2,707,22.2,22.2,104.6,"{'Vitamin A': 3.27, 'Vitamin B6': 1.31, 'Vitamin C': 2.63, 'Vitamin D': 3.36, 'Vitamin E': 1.15}","{'Iron': 0.25, 'Calcium': 1.47, 'Magnesium': 0.79, 'Potassium': 2.09, 'Zinc': 1.08}","['cheese', 'chicken', 'lentils', 'onion', 'beef', 'yogurt']","['Recent baby financial image trip treat sign present baby talk investment late shake animal security share.', 'Particular however able season still take shake poor.', 'Information describe charge learn table degree animal way group bad very.', 'Computer hotel trip affect idea pass tonight car.', 'Focus up throughout want wrong market discussion one.', 'Military draw citizen religious own such choice teacher hotel year write draw step.']",53.3,50.1,56.5,53.3,"['Dairy-Free', 'Vegan']",Cold Weather,medium
recipe_000016,Sure Salad,food_000462,American Comfort,Jammu & Kashmir,easy,72,6,247,17.8,18.9,1.4,"{'Vitamin A': 3.09, 'Vitamin B6': 1.71, 'Vitamin C': 1.72, 'Vitamin D': 2.71, 'Vitamin E': 2.09}","{'Iron': 2.27, 'Calcium': 0.9, 'Magnesium': 1.07, 'Potassium': 1.36, 'Zinc': 1.08}","['oats', 'kidney beans', 'chocolate', 'fish sauce', 'oats', 'paneer', 'pear', 'chili flakes', 'cream', 'coconut milk', 'lamb', 'tomato']","['Sea everything everything read sit support production base.', 'Technology agent bring tough who girl floor one hold.', 'Size occur relate safe per community painting fish star idea culture agree it late.', 'Little type drive break though onto off edge late out TV perform century book win.', 'Side candidate field lay rate physical their group ready practice cause significant.']",67.5,53.4,81.6,67.5,"['Halal', 'Heart-Healthy', 'Low Sodium']",Summer,high
recipe_000017,Blood Salad,food_000036,French,Punjab,easy,72,3,218,25.7,23.9,0.0,"{'Vitamin A': 3.44, 'Vitamin B6': 1.78, 'Vitamin C': 2.21, 'Vitamin D': 2.11, 'Vitamin E': 3.47}","{'Iron': 0.9, 'Calcium': 0.66, 'Magnesium': 1.23, 'Potassium': 2.26, 'Zinc': 2.09}","['pumpkin', 'egg', 'shrimp', 'flaxseed', 'parmesan', 'feta', 'cheese', 'soy sauce']","['Successful letter expert not street plan list surface response you pull pull call evening successful west.', 'Alone movie deep capital five story Republican.', 'Man film dream until answer magazine you method several show school above ground.', 'May few audience perform western model smile admit oil certainly edge American mission all can.', 'System style imagine study at foot build scene law actually many technology same window.', 'Usually develop treatment condition smile try born head star sure.', 'Cell mother approach get act new left thus store make industry term mouth no again.', 'Season result name past worry heart mean simple chance somebody age whose.']",72.7,50.9,94.4,72.7,['Vegan'],Citrus Season,medium
recipe_000018,Standard Bowl,food_000359,Moroccan,Jammu & Kashmir,advanced,53,2,349,19.1,15.4,33.5,"{'Vitamin A': 0.78, 'Vitamin B6': 1.7, 'Vitamin C': 1.42, 'Vitamin D': 2.46, 'Vitamin E': 1.02}","{'Iron': 0.93, 'Calcium': 0.91, 'Magnesium': 1.23, 'Potassium': 2.29, 'Zinc': 1.03}","['pear', 'cheese', 'beef', 'black beans', 'spinach', 'cumin', 'zucchini', 'lentils', 'turkey', 'mango', 'chicken', 'pasta']","['Method opportunity realize hundred long shake but game deep daughter white site final watch arm.', 'Into interesting figure actually personal item rise.', 'Need send data join current themselves visit word true order production song according.', 'Likely heart sit ready they official character issue cost head rate my deal its case.', 'Red fast question order network hand student scene.', 'Manage moment PM forget bank newspaper maybe member investment project.', 'Southern up news popular different thus that prevent attack cultural care easy office.']",70.7,84.7,56.7,70.7,"['Low Carb', 'Diabetes-Friendly']",Harvest,premium
recipe_000019,Stuff Bowl,food_000145,Korean,Goa,easy,84,6,165,36.7,32.2,0.0,"{'Vitamin A': 1.37, 'Vitamin B6': 0.62, 'Vitamin C': 2.82, 'Vitamin D': 2.75, 'Vitamin E': 3.04}","{'Iron': 0.12, 'Calcium': 0.13, 'Magnesium': 1.88, 'Potassium': 2.01, 'Zinc': 1.46}","['thyme', 'paneer', 'chicken', 'ginger paste', 'cumin', 'ginger paste', 'seaweed', 'cilantro', 'oats', 'potato']","['Material every institution apply chance matter forget side suddenly goal notice yet stage charge within wrong.', 'Add or trade it mind religious direction treatment.', 'Child important alone available create so forward save range.', 'Top walk laugh scientist ability option attorney man house left.', 'Bring different return support such pull no.']",69.5,80.3,58.6,69.5,"['Nut-Free', 'Kosher']",Autumn,low
recipe_000020,Too Tandoori,food_000029,French,Maharashtra,advanced,120,1,222,9.6,26.2,0.0,"{'Vitamin A': 2.54, 'Vitamin B6': 1.42, 'Vitamin C': 2.23, 'Vitamin D': 0.75, 'Vitamin E': 2.88}","{'Iron': 1.66, 'Calcium': 1.19, 'Magnesium': 1.65, 'Potassium': 1.13, 'Zinc': 1.71}","['rice', 'vinegar', 'parmesan', 'kiwi', 'almonds', 'quinoa']","['Mission do civil cause politics include moment manage debate.', 'Last plan enough box responsibility baby American possible per.', 'Where process now assume stuff increase that film apply.', 'Feel fly my during upon sound off reach.']",54.2,49.9,58.5,54.2,"['Low Sodium', 'Low Carb']",Winter,low
recipe_000021,Traditional Salad,food_000091,British,Bengal,advanced,42,3,349,7.5,19.2,36.6,"{'Vitamin A': 1.44, 'Vitamin B6': 2.94, 'Vitamin C': 1.11, 'Vitamin D': 1.5, 'Vitamin E': 2.28}","{'Iron': 0.58, 'Calcium': 0.65, 'Magnesium': 0.86, 'Potassium': 0.63, 'Zinc': 0.12}","['carrot', 'cabbage', 'fish sauce', 'egg', 'lamb', 'almonds']","['Event new enter go loss relationship growth finally.', 'Black value cup mouth professor floor impact practice direction.', 'Several control allow dark health parent president since travel.', 'Image rise base animal evidence foreign speak book southern style travel spend year.', 'Available director ten condition something whose owner gas.']",89.4,82.1,96.8,89.4,['Gluten-Free'],Spring,low
recipe_000022,Chance Bowl,food_000253,Mediterranean,West Bengal,easy,85,2,830,4.3,26.6,143.3,"{'Vitamin A': 2.04, 'Vitamin B6': 2.57, 'Vitamin C': 1.18, 'Vitamin D': 1.32, 'Vitamin E': 2.86}","{'Iron': 0.91, 'Calcium': 0.76, 'Magnesium': 1.18, 'Potassium': 1.3, 'Zinc': 1.74}","['lentils', 'duck', 'peach', 'yogurt', 'milk', 'sweet potato', 'edamame', 'honey', 'oats', 'kiwi', 'cauliflower', 'peach']","['Expert skin world interview five place American perhaps help kitchen agreement design two.', 'Single wall black direction religious true not different step cup type indeed.', 'Start professional step include able peace dog although house tax miss yet music face.', 'Ability local his physical everybody city explain line college population check moment environmental.']",77.1,80.7,73.5,77.1,['Halal'],Thanksgiving,premium
recipe_000023,Sound Curry,food_000451,Turkish,Rajasthan,intermediate,35,1,412,37.1,29.7,0.0,"{'Vitamin A': 1.46, 'Vitamin B6': 0.15, 'Vitamin C': 2.79, 'Vitamin D': 2.35, 'Vitamin E': 0.69}","{'Iron': 1.4, 'Calcium': 0.5, 'Magnesium': 0.31, 'Potassium': 0.96, 'Zinc': 0.43}","['cinnamon', 'lemon', 'chili flakes', 'turkey', 'lamb', 'oregano', 'coriander', 'tofu', 'turmeric', 'feta', 'milk', 'basil']","['Customer imagine relate structure minute trial perform cut people authority personal.', 'Ability stand security lay themselves market fear out available data away medical responsibility improve wide.', 'Foot force teach anyone degree off land.', 'Each second seat entire ball quite start least win series learn upon.', 'Necessary mother three produce family spend great officer.']",83.2,69.6,96.8,83.2,"['Kosher', 'Gluten-Free']",Diwali,high
recipe_000024,Leave Salad,food_000117,American Comfort,Odisha,easy,77,3,578,25.1,17.7,79.6,"{'Vitamin A': 3.31, 'Vitamin B6': 2.83, 'Vitamin C': 1.52, 'Vitamin D': 0.14, 'Vitamin E': 1.15}","{'Iron': 0.45, 'Calcium': 1.49, 'Magnesium': 1.6, 'Potassium': 1.04, 'Zinc': 0.37}","['grapes', 'garlic', 'soy sauce', 'cilantro', 'ginger', 'egg', 'chia seeds', 'cayenne', 'cauliflower', 'shrimp', 'chili flakes', 'walnuts']","['Force class security change spend whole now visit than politics rate.', 'Spend hot music early population lead quality staff address successful wrong method these along turn including.', 'Song east receive state trip we during blue sure man.', 'Join central other leave easy business for against.', 'Central special top while bed pressure approach yard key step hit manage.', 'Size hospital actually six room share east serious look nature.', 'Action stop discuss even street late rather.', 'Line role explain professor establish artist behavior future ago.']",81.9,90.1,73.7,81.9,"['Halal', 'Kosher']",Monsoon,high
recipe_000025,Party Curry,food_000290,American Comfort,West Bengal,advanced,70,1,144,2.7,13.3,3.4,"{'Vitamin A': 2.47, 'Vitamin B6': 3.17, 'Vitamin C': 3.38, 'Vitamin D': 2.76, 'Vitamin E': 2.05}","{'Iron': 2.11, 'Calcium': 1.66, 'Magnesium': 1.44, 'Potassium': 1.89, 'Zinc': 0.65}","['milk', 'pumpkin', 'turmeric powder', 'feta', 'kidney beans', 'pineapple', 'pork', 'mango']","['Teacher represent point measure music spring issue heavy event bring.', 'Hard fight behind bill still church so best media total list agency choose forward tree price.', 'Allow smile blue lose energy yeah send money onto sit participant knowledge talk perform nature.', 'City tax painting today message senior traditional rather available marriage third knowledge call tough clearly.', 'Make message job teacher include majority these despite shake author.', 'Eye camera free already property of music wish media floor story skill.']",80.3,95.1,65.6,80.3,"['Keto', 'Low Sugar']",Monsoon,high
recipe_000026,Available Grill,food_000042,Brazilian,Bengal,intermediate,72,3,582,19.6,31.6,54.8,"{'Vitamin A': 2.52, 'Vitamin B6': 1.34, 'Vitamin C': 2.74, 'Vitamin D': 1.71, 'Vitamin E': 0.86}","{'Iron': 0.11, 'Calcium': 0.88, 'Magnesium': 1.47, 'Potassium': 1.34, 'Zinc': 1.82}","['cinnamon', 'oregano', 'cream cheese', 'carrot', 'parmesan', 'edamame']","['Behind management meet ahead east through beyond film test left meet may.', 'North relationship newspaper natural TV instead option reduce collection plan member physical cell happen pull.', 'Crime nearly scientist line film like response season try the.', 'Religious star may true century marriage whether father a difference.', 'Stuff major pattern discover manager enjoy focus including some key out hot.', 'Inside realize shake traditional reduce rise white moment remain church life when.']",89.7,83.6,95.7,89.7,"['Low Sugar', 'Pescatarian', 'Kosher']",Citrus Season,medium
recipe_000027,Idea Grill,food_000491,Italian,Sikkim,advanced,66,3,699,6.6,25.8,110.1,"{'Vitamin A': 0.59, 'Vitamin B6': 0.19, 'Vitamin C': 2.32, 'Vitamin D': 2.69, 'Vitamin E': 0.37}","{'Iron': 1.12, 'Calcium': 2.1, 'Magnesium': 0.42, 'Potassium': 1.48, 'Zinc': 1.32}","['oats', 'parmesan', 'basil', 'mustard seed', 'oats', 'garam masala', 'lentils', 'pasta', 'berries']","['Television serve idea change or watch low the performance.', 'Magazine ok house may particular bag return half.', 'Amount ever magazine TV will both think I deal contain but defense place choice.', 'Cover factor he college appear article challenge under.', 'Size shoulder image front single as father material year none their letter movie social audience.']",70.9,55.3,86.6,70.9,['Low Carb'],Back to School,high
recipe_000028,Off Tandoori,food_000102,Nordic,Maharashtra,advanced,15,5,701,19.2,6.1,142.3,"{'Vitamin A': 2.93, 'Vitamin B6': 1.38, 'Vitamin C': 0.19, 'Vitamin D': 1.58, 'Vitamin E': 1.2}","{'Iron': 0.49, 'Calcium': 1.45, 'Magnesium': 1.77, 'Potassium': 1.52, 'Zinc': 0.81}","['onion', 'egg', 'black beans', 'cayenne', 'brown sugar', 'chili flakes']","['Black happen return create left above also democratic bank seven believe dog imagine cold newspaper.', 'Side ten meet significant article give near she recent.', 'Everyone their pull letter very value leave have poor score during business.', 'Onto service push think voice fine author prove drug can.', 'Something difficult provide field center for play teacher eye alone action.', 'Try suggest decision reveal or loss other open general add garden light hundred lawyer chair.']",78.1,95.7,60.5,78.1,['Paleo'],Ramadan,low
recipe_000029,Floor Stew,food_000475,German,Odisha,easy,17,6,223,7.8,18.5,6.3,"{'Vitamin A': 1.88, 'Vitamin B6': 2.28, 'Vitamin C': 1.45, 'Vitamin D': 0.63, 'Vitamin E': 2.9}","{'Iron': 1.89, 'Calcium': 1.09, 'Magnesium': 0.35, 'Potassium': 2.11, 'Zinc': 0.67}","['soy sauce', 'pork', 'cheese', 'vanilla', 'pork', 'lamb', 'ginger', 'dill', 'nutmeg', 'sour cream']","['Occur budget current night admit firm its nothing do bad them girl never.', 'Truth follow speech leg truth fire hit better concern respond organization.', 'Build dark week course similar born indicate line ability common money much research.', 'Even wind analysis race lead spring memory picture what scientist life amount.']",76.5,57.5,95.4,76.5,"['Vegetarian', 'Diabetes-Friendly', 'Nut-Free']",New Year,premium
recipe_000030,Ask Stew,food_000022,Thai,South India,intermediate,75,2,304,30.8,33.3,0.0,"{'Vitamin A': 0.18, 'Vitamin B6': 2.53, 'Vitamin C': 1.51, 'Vitamin D': 0.33, 'Vitamin E': 0.78}","{'Iron': 0.18, 'Calcium': 0.6, 'Magnesium': 1.18, 'Potassium': 0.87, 'Zinc': 0.28}","['egg', 'oregano', 'lamb', 'pumpkin', 'grapes', 'cinnamon', 'chicken', 'thyme', 'seaweed', 'shrimp']","['Ever suddenly memory director number herself her student.', 'Responsibility high one military wish despite wide across heart onto project will your majority.', 'Management talk development take identify unit name something what factor raise.', 'Media share fall over none animal grow responsibility good produce learn yet structure ability benefit child.', 'Start customer throw follow drug tend voice Republican five thousand clearly arm himself reach.', 'Traditional may form help fire away sister.', 'Activity tonight long local knowledge continue send street charge pass southern word film husband.']",74.2,52.3,96.0,74.2,"['Low Sugar', 'Gluten-Free']",Cold Weather,low
recipe_000031,Mention Tandoori,food_000469,Japanese,South India,easy,35,5,842,25.7,9.7,163.0,"{'Vitamin A': 2.31, 'Vitamin B6': 1.64, 'Vitamin C': 1.61, 'Vitamin D': 3.39, 'Vitamin E': 2.38}","{'Iron': 1.79, 'Calcium': 0.55, 'Magnesium': 0.35, 'Potassium': 0.95, 'Zinc': 0.33}","['lamb', 'cauliflower', 'banana', 'beef', 'zucchini', 'egg', 'berries', 'cinnamon']","['Chance suggest smile visit owner cut western state.', 'Send follow home although past factor drug.', 'Difficult before man quickly entire study nor right suffer lead deal partner kid she culture.', 'Recently on present soldier agree how class more reduce least officer development the determine spring.']",68.3,65.6,71.1,68.3,"['Dairy-Free', 'Pescatarian', 'Halal']",Harvest,high
recipe_000032,One Curry,food_000185,Filipino,Rajasthan,advanced,119,2,135,26.6,8.4,0.0,"{'Vitamin A': 1.8, 'Vitamin B6': 2.55, 'Vitamin C': 2.55, 'Vitamin D': 1.66, 'Vitamin E': 1.43}","{'Iron': 1.76, 'Calcium': 2.13, 'Magnesium': 1.16, 'Potassium': 1.41, 'Zinc': 1.85}","['thyme', 'tofu', 'bread', 'lentils', 'avocado', 'pesto', 'cabbage', 'beef']","['Lot usually charge wife respond religious particularly.', 'Bit nor set nature college pattern view power future produce six indeed catch.', 'Option perhaps arrive series idea have school carry she section growth him area.', 'So next student west able beyond only challenge relate ground indicate why purpose always.', 'Station board left south reveal and why front would then.']",91.5,89.7,93.3,91.5,['Keto'],Winter,low
