restaurant_id,name,cuisines,location_city,location_area,latitude,longitude,opening_hours,rating,delivery_time_minutes,price_level,offers,cuisine,diet_options,healthy_menu_tags,mood_menu_tags,menu_item_ids
restaurant_00011,Rangel Grill,['Indonesian'],Smithchester,Smith Brooks,-11.132248,-77.023306,9:00 - 22:00,3.4,22,$$$$,"['Combo discount', 'Free delivery']",Indonesian,"['Nut-Free', 'Vegetarian']","['protein rich', 'gluten free']","['Spicy', 'Comforting']","['food_000485', 'food_000025', 'food_000084', 'food_000083', 'food_000418']"
restaurant_00012,Hancock House,"['Italian', 'Mexican', 'Japanese']",West Derrick,Lara Ways,-57.388675,90.578323,11:00 - 21:00,3.4,28,$$$,"['Weekend special', 'Free delivery']",Italian,"['High Protein', 'Vegetarian']","['protein rich', 'low calorie']","['Adventurous', 'Cheerful']","['food_000206', 'food_000294', 'food_000056', 'food_000111', 'food_000105']"
restaurant_00013,Hutchinson Kitchen,['South Indian'],Cainmouth,Jessica Mission,-54.491659,-33.015068,9:00 - 20:00,4.5,27,$$,"['Happy hours', 'Weekend special']",South Indian,"['Halal', 'Heart-Healthy']","['low calorie', 'heart healthy']","['Cozy', 'Adventurous']","['food_000398', 'food_000245', 'food_000313', 'food_000178', 'food_000385']"
restaurant_00014,Rogers Corner,"['Healthy Fusion', 'African']",West Michaelshire,Samuel Harbor,-58.75906,51.031779,7:00 - 20:00,3.2,31,$,"['Free delivery', 'Combo discount']",Healthy Fusion,"['Diabetes-Friendly', 'Gluten-Free']","['protein rich', 'low calorie']","['Social', 'Festive']","['food_000367', 'food_000470', 'food_000487', 'food_000406', 'food_000068']"
restaurant_00015,Mendoza Kitchen,['Spanish'],Parksview,Donald View,-7.47852,160.757285,10:00 - 20:00,3.2,65,$$$,"['Free delivery', 'Weekend special']",Spanish,"['Paleo', 'Diabetes-Friendly']","['low calorie', 'low sugar']","['Energized', 'Motivated']","['food_000417', 'food_000450', 'food_000370', 'food_000212', 'food_000470']"
restaurant_00016,Boone Corner,"['Moroccan', 'African']",Richmouth,Conway Burg,41.336517,165.038915,9:00 - 23:00,3.6,36,$$$$,"['Happy hours', '10% off']",Moroccan,"['Low Sodium', 'Heart-Healthy']","['low sugar', 'low calorie']","['Sunny', 'Comforting']","['food_000328', 'food_000278', 'food_000117', 'food_000275', 'food_000447']"
restaurant_00017,Newton Tavern,['Australian'],West Matthewchester,Sanchez Harbors,23.206015,-57.787776,6:00 - 21:00,3.3,58,$$$$,"['10% off', 'Combo discount']",Australian,"['Kosher', 'Low Sugar']","['gluten free', 'low sugar']","['Festive', 'Peaceful']","['food_000372', 'food_000379', 'food_000076', 'food_000485', 'food_000127']"
restaurant_00018,Smith Tavern,['Indonesian'],Fergusonbury,Marvin Mountain,-8.753488,96.99155,6:00 - 21:00,3.2,25,$$,"['10% off', 'Weekend special']",Indonesian,"['Keto', 'Low Carb']","['heart healthy', 'low calorie']","['Calm', 'Comforting']","['food_000353', 'food_000284', 'food_000213', 'food_000414', 'food_000471']"
restaurant_00019,Walters Grill,"['North Indian', 'Moroccan', 'Filipino']",East Stephanieview,Jackson Glens,-8.205371,-162.185849,9:00 - 22:00,4.4,60,$,"['Free delivery', 'Weekend special']",North Indian,"['Halal', 'Vegan']","['gluten free', 'low sugar']","['Comforting', 'Focused']","['food_000307', 'food_000163', 'food_000377', 'food_000454', 'food_000460']"
restaurant_00020,Marquez Corner,['Vietnamese'],East Allison,Daniel Neck,-58.920572,-128.842209,9:00 - 23:00,4.5,35,$,"['Free delivery', 'Happy hours']",Vietnamese,"['Low Sodium', 'Gluten-Free']","['low calorie', 'low sugar']","['Nostalgic', 'Adventurous']","['food_000074', 'food_000058', 'food_000193', 'food_000091', 'food_000348']"
restaurant_00021,Williams Cafe,"['Australian', 'Italian', 'Turkish']",Brianstad,Burnett Rapids,62.999528,-110.751248,7:00 - 20:00,4.4,32,$$$$,"['Free delivery', 'Combo discount']",Australian,"['Dairy-Free', 'Paleo']","['heart healthy', 'low calorie']","['Nostalgic', 'Peaceful']","['food_000431', 'food_000266', 'food_000256', 'food_000261', 'food_000307']"
restaurant_00022,Rasmussen House,"['South Indian', 'Italian']",North Brianton,Brooks Shoals,-86.254279,-120.164361,8:00 - 23:00,4.5,63,$$$$,"['Combo discount', '10% off']",South Indian,"['Nut-Free', 'Keto']","['heart healthy', 'gluten free']","['Festive', 'Focused']","['food_000204', 'food_000219', 'food_000325', 'food_000337', 'food_000108']"
restaurant_00023,Jones Bistro,"['German', 'Caribbean', 'Mexican']",Lake Georgechester,Haley Tunnel,-41.758657,-17.153808,9:00 - 23:00,3.6,30,$$,"['Free delivery', 'Combo discount']",German,"['Paleo', 'Vegetarian']","['heart healthy', 'low calorie']","['Sunny', 'Comforting']","['food_000278', 'food_000043', 'food_000073', 'food_000415', 'food_000310']"
restaurant_00024,Moore Bistro,['Indonesian'],East Richard,Reyes Vista,13.086831,153.880721,7:00 - 22:00,3.2,40,$$$,"['Happy hours', 'Free delivery']",Indonesian,"['Vegan', 'Gluten-Free']","['gluten free', 'low sugar']","['Cheerful', 'Sweet']","['food_000206', 'food_000120', 'food_000224', 'food_000126', 'food_000238']"
restaurant_00025,Sampson Grill,"['Australian', 'East Asian', 'Indonesian']",Gardnerbury,Ryan Place,-58.975115,44.072277,8:00 - 21:00,3.1,44,$$$$,"['10% off', 'Combo discount']",Australian,"['Low Carb', 'Dairy-Free']","['gluten free', 'low calorie']","['Spicy', 'Cheerful']","['food_000050', 'food_000100', 'food_000105', 'food_000371', 'food_000055']"
restaurant_00026,Schwartz Bistro,"['Spanish', 'Nordic', 'Peruvian']",North Xavier,Parker Overpass,-82.15031,26.602786,7:00 - 21:00,3.1,61,$,"['10% off', 'Free delivery']",Spanish,"['Paleo', 'Vegan']","['protein rich', 'low calorie']","['Comforting', 'Nostalgic']","['food_000262', 'food_000340', 'food_000467', 'food_000453', 'food_000058']"
restaurant_00027,Simmons Grill,"['Spanish', 'East Asian']",Sandraside,Destiny Branch,7.819176,12.882767,9:00 - 22:00,4.8,26,$$$$,"['Weekend special', '10% off']",Spanish,"['Nut-Free', 'Paleo']","['gluten free', 'low calorie']","['Sunny', 'Nostalgic']","['food_000157', 'food_000385', 'food_000069', 'food_000429', 'food_000345']"
restaurant_00028,Benson Kitchen,['Australian'],Tammyview,Andrew Avenue,-58.020955,154.104714,9:00 - 23:00,4.3,50,$$$$,"['Free delivery', 'Combo discount']",Australian,"['Nut-Free', 'Kosher']","['heart healthy', 'gluten free']","['Nostalgic', 'Sunny']","['food_000384', 'food_000160', 'food_000397', 'food_000382', 'food_000061']"
restaurant_00029,Hull House,"['German', 'East Asian']",East Ashleeview,Jesus Shores,-36.685026,-115.094664,10:00 - 21:00,4.4,47,$$,"['Free delivery', 'Weekend special']",German,"['Gluten-Free', 'Keto']","['protein rich', 'low calorie']","['Nostalgic', 'Relaxed']","['food_000024', 'food_000146', 'food_000084', 'food_000314', 'food_000130']"
restaurant_00030,Jenkins House,['Australian'],Davidberg,Jeff Hollow,-39.347189,-5.184882,10:00 - 20:00,3.2,59,$,"['Happy hours', 'Free delivery']",Australian,"['Pescatarian', 'Dairy-Free']","['gluten free', 'low sugar']","['Sweet', 'Peaceful']","['food_000050', 'food_000334', 'food_000083', 'food_000264', 'food_000358']"
restaurant_00031,Richmond Bistro,['German'],Port Kellyfort,Phillips Valley,-79.737649,135.066018,9:00 - 23:00,3.0,64,$,"['Free delivery', '10% off']",German,"['Vegan', 'Vegetarian']","['low sugar', 'protein rich']","['Focused', 'Spicy']","['food_000173', 'food_000100', 'food_000279', 'food_000203', 'food_000097']"
restaurant_00032,Gamble Corner,['South Indian'],Dicksonfurt,Donna Divide,23.725495,-62.410514,7:00 - 22:00,3.5,53,$$$,"['Free delivery', '10% off']",South Indian,"['Halal', 'Low Carb']","['protein rich', 'heart healthy']","['Savory', 'Focused']","['food_000338', 'food_000399', 'food_000290', 'food_000393', 'food_000314']"
restaurant_00033,Smith Kitchen,['Korean'],New Jasminetown,Sharon Coves,6.116737,-24.409604,9:00 - 23:00,4.9,34,$$$$,"['Free delivery', 'Weekend special']",Korean,"['Kosher', 'Nut-Free']","['protein rich', 'gluten free']","['Happy', 'Cozy']","['food_000461', 'food_000383', 'food_000043', 'food_000259', 'food_000173']"
restaurant_00034,Cooper Grill,['African'],South Latasha,Thomas Knolls,-58.134037,-16.244713,7:00 - 23:00,4.1,26,$$$$,"['10% off', 'Weekend special']",African,"['Low Sugar', 'Gluten-Free']","['gluten free', 'protein rich']","['Social', 'Calm']","['food_000368', 'food_000312', 'food_000079', 'food_000051', 'food_000345']"
restaurant_00035,Robbins House,"['German', 'Healthy Fusion', 'Thai']",North Anthony,Suarez Mill,-7.004411,36.031186,6:00 - 23:00,3.7,64,$$,"['10% off', 'Happy hours']",German,"['Diabetes-Friendly', 'High Protein']","['heart healthy', 'low calorie']","['Energized', 'Cozy']","['food_000387', 'food_000323', 'food_000371', 'food_000190', 'food_000423']"
restaurant_00036,Blackburn House,['South Indian'],Wallacechester,Sonia Views,64.134108,112.758716,7:00 - 20:00,4.2,49,$,"['Weekend special', 'Happy hours']",South Indian,"['Pescatarian', 'Vegan']","['heart healthy', 'low calorie']","['Comforting', 'Sweet']","['food_000215', 'food_000297', 'food_000437', 'food_000274', 'food_000330']"
restaurant_00037,Gilbert Bistro,"['British', 'French', 'Thai']",Deleonland,Hancock Viaduct,-57.924886,63.200497,11:00 - 21:00,4.4,44,$$$$,"['Combo discount', 'Happy hours']",British,"['Kosher', 'Diabetes-Friendly']","['protein rich', 'low sugar']","['Sweet', 'Romantic']","['food_000071', 'food_000166', 'food_000230', 'food_000105', 'food_000158']"
restaurant_00038,Houston House,"['Turkish', 'African', 'Middle Eastern']",East Anita,Jeff Heights,-31.292947,36.84383,11:00 - 23:00,4.3,20,$$$,"['Happy hours', 'Combo discount']",Turkish,"['Paleo', 'Dairy-Free']","['gluten free', 'low calorie']","['Motivated', 'Festive']","['food_000322', 'food_000244', 'food_000074', 'food_000392', 'food_000317']"
restaurant_00039,Adams Tavern,"['Turkish', 'French']",Reyeshaven,Martinez Corner,47.604572,26.673951,9:00 - 23:00,3.0,20,$,"['Weekend special', 'Happy hours']",Turkish,"['Dairy-Free', 'Nut-Free']","['heart healthy', 'low sugar']","['Spicy', 'Comforting']","['food_000352', 'food_000317', 'food_000436', 'food_000293', 'food_000146']"
restaurant_00040,Brown Tavern,"['Mediterranean', 'Greek']",Lake Danielmouth,Stephen Mills,54.490987,108.713758,8:00 - 20:00,3.8,35,$$,"['Combo discount', 'Happy hours']",Mediterranean,"['Nut-Free', 'Keto']","['heart healthy', 'low calorie']","['Sunny', 'Nostalgic']","['food_000398', 'food_000300', 'food_000274', 'food_000015', 'food_000136']"
restaurant_00041,Meyer Cafe,"['South Indian', 'Australian']",Randyview,Gonzalez Landing,29.318642,5.317079,9:00 - 20:00,3.7,30,$$,"['10% off', 'Weekend special']",South Indian,"['Low Sodium', 'Low Sugar']","['protein rich', 'heart healthy']","['Energized', 'Sunny']","['food_000205', 'food_000149', 'food_000284', 'food_000309', 'food_000462']"
restaurant_00042,Baldwin Kitchen,['Brazilian'],Lake Ian,Casey Coves,-41.299276,120.082976,8:00 - 20:00,4.5,20,$$,"['Weekend special', 'Free delivery']",Brazilian,"['Vegan', 'Low Sodium']","['heart healthy', 'low sugar']","['Spicy', 'Savory']","['food_000122', 'food_000317', 'food_000305', 'food_000378', 'food_000243']"
restaurant_00043,Davidson Cafe,"['Latin American', 'Spanish', 'Thai']",South Phillipshire,Nicole Avenue,87.164639,-94.837536,7:00 - 23:00,4.6,20,$$$$,"['10% off', 'Weekend special']",Latin American,"['Low Sugar', 'Vegetarian']","['low sugar', 'heart healthy']","['Sunny', 'Romantic']","['food_000304', 'food_000455', 'food_000446', 'food_000399', 'food_000306']"
restaurant_00044,Santana Cafe,"['American Comfort', 'South Indian', 'Filipino']",Monroetown,Villarreal Curve,-20.267538,-145.047095,8:00 - 21:00,4.7,54,$$$,"['Combo discount', 'Happy hours']",American Comfort,"['Heart-Healthy', 'Dairy-Free']","['low calorie', 'heart healthy']","['Comfort', 'Romantic']","['food_000272', 'food_000242', 'food_000083', 'food_000213', 'food_000450']"
restaurant_00045,Wilson Grill,['South Indian'],South Rhonda,Christopher Gardens,23.58421,-106.543832,8:00 - 20:00,3.1,37,$,"['Combo discount', 'Weekend special']",South Indian,"['Low Carb', 'Gluten-Free']","['gluten free', 'low calorie']","['Sunny', 'Happy']","['food_000141', 'food_000341', 'food_000176', 'food_000489', 'food_000217']"
restaurant_00046,Rollins House,"['Brazilian', 'Filipino']",Danielfort,James Crest,-60.329756,158.399465,9:00 - 21:00,4.6,28,$$$,"['10% off', 'Combo discount']",Brazilian,"['Halal', 'Dairy-Free']","['gluten free', 'heart healthy']","['Happy', 'Adventurous']","['food_000162', 'food_000478', 'food_000218', 'food_000394', 'food_000092']"
restaurant_00047,Weaver Bistro,['Latin American'],North Monicaport,Mariah Unions,-30.278661,-102.436253,11:00 - 22:00,3.9,21,$,"['Combo discount', 'Happy hours']",Latin American,"['Dairy-Free', 'High Protein']","['heart healthy', 'low sugar']","['Spicy', 'Nostalgic']","['food_000351', 'food_000403', 'food_000167', 'food_000191', 'food_000306']"
restaurant_00048,Hall Bistro,"['Mexican', 'Caribbean', 'Middle Eastern']",New Barbaraport,Ronald Underpass,62.65857,114.401217,10:00 - 21:00,3.6,51,$,"['10% off', 'Free delivery']",Mexican,"['Dairy-Free', 'Low Sodium']","['low sugar', 'protein rich']","['Romantic', 'Focused']","['food_000360', 'food_000425', 'food_000442', 'food_000461', 'food_000306']"
restaurant_00049,Murillo Kitchen,['German'],Francoton,Ryan Common,-19.010439,57.028332,6:00 - 20:00,4.9,50,$$,"['Free delivery', 'Weekend special']",German,"['Heart-Healthy', 'High Protein']","['protein rich', 'heart healthy']","['Festive', 'Spicy']","['food_000329', 'food_000280', 'food_000375', 'food_000127', 'food_000317']"
restaurant_00050,Snow Cafe,"['Caribbean', 'British', 'Moroccan']",West Kathryn,Carolyn Stream,9.745893,-118.451092,10:00 - 22:00,3.3,42,$$$,"['Free delivery', 'Combo discount']",Caribbean,"['Keto', 'Low Sugar']","['low calorie', 'low sugar']","['Happy', 'Comforting']","['food_000315', 'food_000044', 'food_000230', 'food_000035', 'food_000029']"
restaurant_00051,Lewis Cafe,['Greek'],Perkinsberg,Jeffrey Spurs,-24.610894,35.743083,8:00 - 23:00,3.9,37,$,"['Happy hours', 'Free delivery']",Greek,"['Halal', 'Nut-Free']","['protein rich', 'low sugar']","['Adventurous', 'Nostalgic']","['food_000225', 'food_000448', 'food_000271', 'food_000375', 'food_000381']"
restaurant_00052,Hernandez Corner,"['French', 'Latin American', 'Brazilian']",Matthewfort,Castro Orchard,-68.565152,29.009145,11:00 - 23:00,3.4,38,$$$$,"['Weekend special', 'Free delivery']",French,"['Vegan', 'Low Sodium']","['protein rich', 'heart healthy']","['Peaceful', 'Spicy']","['food_000016', 'food_000114', 'food_000100', 'food_000064', 'food_000272']"
restaurant_00053,Thompson Bistro,"['Mediterranean', 'Peruvian']",Catherineville,Hodge Points,33.908551,-93.727466,11:00 - 21:00,3.9,22,$,"['Weekend special', 'Happy hours']",Mediterranean,"['Low Sodium', 'Kosher']","['gluten free', 'low calorie']","['Comforting', 'Focused']","['food_000246', 'food_000279', 'food_000244', 'food_000101', 'food_000005']"
restaurant_00054,Lloyd Cafe,"['Mexican', 'Middle Eastern', 'Caribbean']",Lloydside,Solomon Summit,-33.577032,-135.998231,11:00 - 22:00,3.8,62,$,"['Free delivery', 'Combo discount']",Mexican,"['High Protein', 'Diabetes-Friendly']","['gluten free', 'low calorie']","['Romantic', 'Peaceful']","['food_000290', 'food_000443', 'food_000055', 'food_000183', 'food_000218']"
restaurant_00055,Norman Grill,"['American Comfort', 'French']",Rosariofurt,Austin Shoals,66.484176,-1.236951,11:00 - 23:00,3.9,44,$$$,"['Free delivery', 'Happy hours']",American Comfort,"['Gluten-Free', 'Paleo']","['protein rich', 'gluten free']","['Sunny', 'Adventurous']","['food_000301', 'food_000310', 'food_000295', 'food_000132', 'food_000455']"
restaurant_00056,Anderson Tavern,"['Australian', 'Mexican', 'Italian']",Edwardport,Lisa Cape,-80.521508,31.515096,10:00 - 20:00,4.4,27,$$$,"['10% off', 'Combo discount']",Australian,"['Diabetes-Friendly', 'Keto']","['gluten free', 'low calorie']","['Spicy', 'Calm']","['food_000427', 'food_000477', 'food_000351', 'food_000363', 'food_000175']"
restaurant_00057,Richards Bistro,['British'],East Kelly,Andre Run,7.254464,-32.54445,10:00 - 22:00,4.8,30,$,"['Combo discount', 'Happy hours']",British,"['Low Carb', 'Halal']","['gluten free', 'low sugar']","['Savory', 'Motivated']","['food_000299', 'food_000190', 'food_000225', 'food_000088', 'food_000288']"
restaurant_00058,Thomas Cafe,"['Caribbean', 'Indonesian']",Hayeschester,Gina Mills,45.76207,-134.489372,10:00 - 20:00,4.7,23,$$$,"['Free delivery', 'Weekend special']",Caribbean,"['Gluten-Free', 'High Protein']","['gluten free', 'heart healthy']","['Spicy', 'Relaxed']","['food_000420', 'food_000071', 'food_000154', 'food_000271', 'food_000277']"
restaurant_00059,Delgado Bistro,"['Lebanese', 'Filipino', 'Peruvian']",Christinaton,Danielle Causeway,71.768464,-13.636045,8:00 - 22:00,4.8,36,$$$$,"['Combo discount', '10% off']",Lebanese,"['Low Carb', 'Kosher']","['protein rich', 'heart healthy']","['Happy', 'Focused']","['food_000268', 'food_000201', 'food_000054', 'food_000043', 'food_000094']"
restaurant_00060,Greene Grill,['Indonesian'],Patrickborough,Reed Fields,-52.214392,0.999896,9:00 - 20:00,4.6,56,$,"['Free delivery', 'Happy hours']",Indonesian,"['Gluten-Free', 'Paleo']","['low sugar', 'low calorie']","['Comfort', 'Sweet']","['food_000323', 'food_000434', 'food_000086', 'food_000427', 'food_000054']"
restaurant_00061,Simmons Tavern,"['Turkish', 'North Indian']",North Garyshire,Sharp Shore,-33.187879,21.698647,9:00 - 23:00,4.2,34,$$$,"['Combo discount', '10% off']",Turkish,"['Nut-Free', 'Halal']","['gluten free', 'low calorie']","['Motivated', 'Comfort']","['food_000394', 'food_000429', 'food_000343', 'food_000164', 'food_000100']"
restaurant_00062,Reynolds Bistro,"['Japanese', 'South Indian', 'German']",South Davidfort,Mary Junction,-68.065103,-93.192798,10:00 - 20:00,3.0,54,$,"['Free delivery', 'Happy hours']",Japanese,"['Dairy-Free', 'Gluten-Free']","['low sugar', 'gluten free']","['Romantic', 'Calm']","['food_000371', 'food_000219', 'food_000022', 'food_000294', 'food_000031']"
restaurant_00063,Pennington Grill,"['Caribbean', 'Brazilian', 'Spanish']",Reidport,Rhodes Pass,64.005347,78.18439,6:00 - 22:00,3.7,28,$,"['Combo discount', 'Free delivery']",Caribbean,"['Heart-Healthy', 'Keto']","['heart healthy', 'low calorie']","['Cheerful', 'Peaceful']","['food_000255', 'food_000106', 'food_000195', 'food_000388', 'food_000206']"
restaurant_00064,Brown Bistro,"['Mediterranean', 'American Comfort']",Andreamouth,James Walk,1.73826,35.850187,10:00 - 21:00,3.4,35,$$$,"['Weekend special', '10% off']",Mediterranean,"['Vegetarian', 'Nut-Free']","['low sugar', 'gluten free']","['Cozy', 'Relaxed']","['food_000188', 'food_000325', 'food_000490', 'food_000150', 'food_000231']"
restaurant_00065,Johnson Grill,['Mediterranean'],East Michellemouth,Murphy Hill,64.939352,115.348089,7:00 - 23:00,4.1,42,$$$,"['Combo discount', '10% off']",Mediterranean,"['Keto', 'Low Sugar']","['low sugar', 'protein rich']","['Sunny', 'Energized']","['food_000338', 'food_000069', 'food_000430', 'food_000261', 'food_000467']"
restaurant_00066,Mcdaniel Bistro,"['Vietnamese', 'Middle Eastern']",Waltersmouth,John Lodge,-84.928854,-122.973137,10:00 - 23:00,5.0,61,$$$$,"['Happy hours', 'Weekend special']",Vietnamese,"['Vegetarian', 'Low Sodium']","['protein rich', 'low sugar']","['Focused', 'Peaceful']","['food_000043', 'food_000194', 'food_000414', 'food_000131', 'food_000132']"
restaurant_00067,Martinez Kitchen,"['Moroccan', 'Mexican', 'Mediterranean']",East Kaitlynburgh,Olivia Junctions,70.794242,44.442664,11:00 - 23:00,4.9,40,$,"['Free delivery', 'Combo discount']",Moroccan,"['Dairy-Free', 'Low Sugar']","['low sugar', 'low calorie']","['Comforting', 'Romantic']","['food_000020', 'food_000097', 'food_000343', 'food_000287', 'food_000280']"
restaurant_00068,Patterson Kitchen,['Vietnamese'],Alexanderside,Payne Mall,-88.510939,-128.624428,9:00 - 21:00,3.8,52,$$,"['10% off', 'Combo discount']",Vietnamese,"['Low Carb', 'Nut-Free']","['low sugar', 'heart healthy']","['Romantic', 'Peaceful']","['food_000387', 'food_000297', 'food_000118', 'food_000304', 'food_000163']"
restaurant_00069,Clark Corner,['Filipino'],Schneiderborough,Jones Place,13.562004,27.047773,6:00 - 23:00,4.0,36,$,"['Weekend special', '10% off']",Filipino,"['Low Sodium', 'Gluten-Free']","['gluten free', 'low sugar']","['Savory', 'Peaceful']","['food_000233', 'food_000392', 'food_000139', 'food_000447', 'food_000164']"
restaurant_00070,Nash Corner,"['Latin American', 'Peruvian']",Danielston,Marquez Road,59.608467,96.090925,10:00 - 23:00,3.3,51,$$,"['10% off', 'Happy hours']",Latin American,"['Low Carb', 'Heart-Healthy']","['protein rich', 'low calorie']","['Cozy', 'Spicy']","['food_000492', 'food_000287', 'food_000062', 'food_000404', 'food_000055']"
restaurant_00071,Murphy Corner,"['Brazilian', 'Italian']",Lake Davidview,Mann Gardens,-53.442887,160.95997,10:00 - 20:00,4.0,33,$,"['Weekend special', 'Happy hours']",Brazilian,"['Heart-Healthy', 'Nut-Free']","['low sugar', 'protein rich']","['Calm', 'Social']","['food_000208', 'food_000146', 'food_000390', 'food_000244', 'food_000231']"
restaurant_00072,Scott Kitchen,"['Latin American', 'Healthy Fusion']",Brendanhaven,Hunt Terrace,18.907713,44.167917,6:00 - 22:00,3.4,60,$,"['Happy hours', '10% off']",Latin American,"['Low Sodium', 'Low Carb']","['protein rich', 'heart healthy']","['Adventurous', 'Comforting']","['food_000136', 'food_000404', 'food_000086', 'food_000497', 'food_000021']"
restaurant_00073,Bryant Cafe,['Indonesian'],North Stephanie,Tiffany Falls,65.22416,-96.248246,6:00 - 20:00,4.4,42,$$,"['Happy hours', 'Weekend special']",Indonesian,"['Paleo', 'Vegetarian']","['low sugar', 'gluten free']","['Relaxed', 'Comfort']","['food_000029', 'food_000363', 'food_000354', 'food_000254', 'food_000303']"
restaurant_00074,Wise Corner,"['Italian', 'Latin American', 'Turkish']",Estradamouth,Ian Spur,-61.279014,-46.356691,7:00 - 20:00,3.1,50,$$,"['Weekend special', 'Combo discount']",Italian,"['Keto', 'Nut-Free']","['protein rich', 'gluten free']","['Festive', 'Spicy']","['food_000488', 'food_000239', 'food_000015', 'food_000301', 'food_000374']"
restaurant_00075,Perry Grill,"['Vietnamese', 'East Asian', 'German']",East Patrick,Terrell Parks,86.933444,131.598055,10:00 - 23:00,3.4,31,$$$$,"['Combo discount', '10% off']",Vietnamese,"['Diabetes-Friendly', 'Pescatarian']","['low sugar', 'protein rich']","['Focused', 'Nostalgic']","['food_000008', 'food_000136', 'food_000427', 'food_000456', 'food_000356']"
restaurant_00076,Carrillo Grill,"['American Comfort', 'Middle Eastern', 'Mexican']",South Alexander,Charles Motorway,-70.581187,118.2374,6:00 - 20:00,3.4,44,$,"['Weekend special', 'Happy hours']",American Comfort,"['Keto', 'Halal']","['heart healthy', 'protein rich']","['Energized', 'Happy']","['food_000007', 'food_000077', 'food_000280', 'food_000205', 'food_000230']"
