food_id,name,cuisine,category,region,season,weather,price_tier,calories,protein_g,fat_g,carbs_g,allergens,diet_options,mood_tags,health_score,taste_score,rating,description
food_000012,Smoked Healthy Bowls,Greek,Main Course,Kerala,Eid,Cloudy,low,371,8.0,29.3,18.8,[],"['Dairy-Free', 'Heart-Healthy', 'Nut-Free']","['Romantic', 'Adventurous', 'Festive']",77.4,85.3,4.8,Drug Republican investment that three fish rate understand.
food_000013,Roasted Lunch,Moroccan,Rice Dishes,Uttar Pradesh,Summer Vacation,Monsoon,low,174,26.1,29.1,0.0,['cashew'],"['Low Sodium', 'Halal']","['Motivated', 'Spicy', 'Cozy']",62.7,56.9,3.2,Other series single nature course power national large fund effect exactly this pull pressure discover woman.
food_000014,Chutney Wrap,East Asian,Lunch,Himachal Pradesh,Eid,Rainy,high,762,5.9,27.4,123.0,['fish'],['Low Sodium'],"['Cozy', 'Comfort', 'Focused']",66.5,93.0,4.6,Over natural including join guy above generation candidate technology guess rather.
food_000015,Smoked Salads,British,Snacks,Delhi,Spring,Monsoon,premium,551,15.3,28.8,57.7,['celery'],"['Low Carb', 'Pescatarian']","['Relaxed', 'Festive', 'Comforting']",56.8,92.5,4.4,Minute hit wide benefit final statement its such real continue hundred hour.
food_000016,Creamy Pasta,Latin American,Pasta,Telangana,Eid,Warm,low,603,6.4,31.5,73.5,"['gluten', 'onion', 'yeast']","['Low Sugar', 'Low Sodium', 'Diabetes-Friendly']","['Relaxed', 'Cheerful', 'Sweet']",47.4,63.2,4.4,Just organization result as crime else evidence we concern item analysis second.
food_000017,Golden Sushi,East Asian,Salads,Telangana,Christmas,Humid,high,388,17.4,29.3,13.7,"['nightshades', 'almond']",['Diabetes-Friendly'],"['Focused', 'Relaxed', 'Nostalgic']",56.1,68.1,3.2,Culture week before between run police street but beautiful detail hour fish capital effect after born quite.
food_000018,Creamy Rice Dishes,Healthy Fusion,Seafood,Northeast India,Summer,Breezy,premium,669,9.4,24.5,102.7,[],['Pescatarian'],"['Calm', 'Focused', 'Peaceful']",57.9,76.3,3.1,Heavy movie million can you learn view parent relate save better them record special stuff.
food_000019,Creamy Dessertbites,Lebanese,Street Food,Odisha,Berry Season,Heatwave,low,641,18.9,6.0,127.8,['cashew'],"['Diabetes-Friendly', 'Nut-Free']","['Calm', 'Festive', 'Motivated']",68.9,92.0,4.4,Avoid speech lead fire show difficult understand either despite style including stock.
food_000020,Creamy Wraps,British,Desserts,East India,Harvest,Cloudy,premium,418,22.6,14.8,48.6,[],"['Kosher', 'High Protein', 'Vegetarian']","['Comforting', 'Nostalgic', 'Sunny']",67.3,63.9,4.1,Role really list simple to certainly school experience research painting pay gas four decade blood.
food_000021,Idli Bowl,South Indian,Smoothies,Andhra Pradesh,Christmas,Humid,premium,483,24.5,23.4,43.6,"['soy', 'milk', 'sesame']","['Nut-Free', 'Keto']","['Motivated', 'Cheerful', 'Sweet']",67.7,58.6,3.6,Recently spend myself enjoy work leader campaign available painting.
food_000022,Spiced Soups,Thai,Soups,South India,Summer,Rainy,low,284,33.9,21.9,0.0,[],"['Low Sugar', 'High Protein', 'Halal']","['Festive', 'Comforting', 'Focused']",70.1,65.3,4.6,Degree reduce field early under girl energy center Mrs loss toward enough.
food_000023,Herbed Tea & Coffee,British,Salads,Bengal,Warm Weather,Stormy,high,388,34.3,21.2,15.0,[],"['Pescatarian', 'Nut-Free']","['Comforting', 'Relaxed', 'Peaceful']",97.1,60.2,3.0,Wonder into police mouth common city major hold artist sister would early.
food_000024,Golden Plant-based,East Asian,Wraps,Rajasthan,Summer Vacation,Foggy,high,631,31.4,16.5,89.2,"['fish', 'egg']","['Heart-Healthy', 'Keto']","['Motivated', 'Sweet', 'Sunny']",76.4,90.5,3.1,Contain require song from time enough if true personal grow old culture top discussion score table training many.
food_000025,Spiced Grills,African,Pasta,East India,Valentine,Seasonal,medium,275,5.3,25.3,6.5,"['cashew', 'hazelnut', 'garlic']","['Vegetarian', 'Vegan']","['Nostalgic', 'Calm', 'Sunny']",85.2,76.0,3.6,Care truth page identify edge speak federal call subject not ahead college.
food_000026,Roasted Soups,Thai,Tea & Coffee,Odisha,Valentine,Cool,high,203,29.4,11.4,0.0,['shellfish'],['Diabetes-Friendly'],"['Festive', 'Sweet', 'Peaceful']",95.4,86.9,5.0,Down picture rock owner he Republican door change teacher least avoid.
food_000027,Roasted Tea & Coffee,East Asian,Main Course,Punjab,Spring,Seasonal,low,209,26.2,26.5,0.0,"['garlic', 'nightshades']","['Low Sodium', 'Vegetarian']","['Festive', 'Happy', 'Romantic']",45.7,59.4,3.8,Political PM size value quality day occur military type include edge appear manage letter.
food_000028,Biryani Wrap,Mediterranean,Soups,Gujarat,Cold Weather,Thunderstorm,low,615,16.5,31.8,65.7,"['mustard', 'wheat', 'sesame oil']",['Keto'],"['Social', 'Savory', 'Festive']",76.2,67.8,3.3,Say detail TV impact his world wife window tonight no couple response key PM.
food_000029,Fresh Dinner,French,Lunch,Maharashtra,Diwali,Cool,low,783,10.9,9.6,163.2,['corn'],['High Protein'],"['Adventurous', 'Festive', 'Savory']",76.3,89.0,3.1,Single some bring person scientist probably cup remember need staff strong argue figure.
food_000030,Zesty Curry,British,Appetizers,East India,Christmas,Foggy,medium,585,18.6,21.1,80.2,"['gluten', 'egg']",['Vegetarian'],"['Festive', 'Sweet', 'Energized']",83.9,93.2,3.9,Sport argue something owner with impact up animal Congress response thank.
food_000031,Herbed Beverages,Vietnamese,Healthy Bowls,Telangana,Navratri,Warm,premium,417,17.6,17.6,47.0,[],"['Gluten-Free', 'Low Sodium']","['Festive', 'Cheerful', 'Romantic']",66.2,83.5,4.7,Box college fall experience allow white street whether chair always term medical hospital popular.
food_000032,Spiced Salads,Thai,Pasta,West Bengal,Citrus Season,Breezy,low,353,22.9,32.5,0.0,[],['High Protein'],"['Focused', 'Nostalgic', 'Spicy']",82.0,73.8,4.1,Vote discover appear road drop our try party recently leg keep on move leader.
food_000033,Creamy Dessertbites,Filipino,Tea & Coffee,Himachal Pradesh,Summer Vacation,Foggy,high,574,39.2,8.9,84.3,['egg'],"['Pescatarian', 'Low Sodium']","['Peaceful', 'Festive', 'Comfort']",65.3,78.7,4.5,Area special across together about fish fast fish himself.
food_000034,Fresh Street Food,Thai,Street Food,Sikkim,Cold Weather,Misty,medium,273,39.3,8.7,9.4,"['milk', 'sulphites', 'garlic']","['Kosher', 'Low Sugar', 'Nut-Free']","['Adventurous', 'Happy', 'Energized']",90.4,71.5,4.0,Attorney own son chair soon at star whose because form structure role particular though.
food_000035,Biryani Salad,South Indian,Juices,Kerala,Thanksgiving,Snowy,medium,426,25.7,14.2,48.9,"['sulphites', 'cashew', 'hazelnut']","['Vegan', 'Dairy-Free']","['Relaxed', 'Calm', 'Nostalgic']",62.4,58.5,4.5,Budget risk stand easy color issue decision smile expert election never develop top girl choice into.
food_000036,Roasted Healthy Bowls,French,Breakfast,Punjab,Navratri,Rainy,premium,463,18.4,8.9,77.3,['soy'],['Gluten-Free'],"['Savory', 'Sunny', 'Calm']",81.1,72.7,4.8,Painting three season any operation occur arm letter campaign meeting serve grow could yes interview dinner major.
food_000037,Herbed Sandwiches,Korean,Appetizers,Central India,Cold Weather,Humid,high,433,39.5,10.8,44.5,"['mustard', 'shellfish', 'celery']","['Keto', 'Diabetes-Friendly']","['Sunny', 'Sweet', 'Comforting']",81.6,96.4,5.0,She available second suddenly whose but scene often type husband edge example return entire American performance let.
food_000038,Roasted Fermented,Nordic,Juices,Punjab,Berry Season,Monsoon,high,315,25.1,12.7,25.1,['cashew'],['Vegan'],"['Nostalgic', 'Motivated', 'Energized']",77.9,82.4,4.5,Very for world two article official and big Democrat head audience provide person form.
food_000039,Grilled Main Course,African,Healthy Bowls,Assam,Summer Vacation,Foggy,premium,573,38.8,10.7,80.4,"['egg', 'tree nuts', 'fish']","['Kosher', 'Pescatarian', 'Diabetes-Friendly']","['Spicy', 'Comforting', 'Relaxed']",87.6,92.4,3.0,Trade military movie nice technology stuff never question sell.
food_000040,Fresh Breakfast,Brazilian,Rice Dishes,Goa,Autumn,Stormy,medium,714,35.6,19.9,98.1,[],"['Heart-Healthy', 'Diabetes-Friendly', 'Halal']","['Nostalgic', 'Cozy', 'Romantic']",56.7,94.4,3.1,Street however figure sort before maybe road painting onto.
food_000041,Golden Juices,Thai,Bread,North India,Cold Weather,Thunderstorm,low,824,7.9,14.8,164.8,"['sesame', 'milk', 'hazelnut']","['Low Sugar', 'High Protein']","['Motivated', 'Calm', 'Comforting']",70.9,59.3,5.0,Spring new treat happy project store you spring song check light according a decide writer.
food_000042,Biryani Salad,Brazilian,Sandwiches,Bengal,Harvest,Festive,high,329,39.6,27.7,0.0,['wheat'],['High Protein'],"['Cheerful', 'Adventurous', 'Comfort']",89.0,63.8,4.7,Star air three opportunity yet make discussion computer product among president exist modern doctor represent test somebody summer professional.
food_000043,Citrus Breakfast,East Asian,Breakfast,Goa,New Year,Holiday,premium,258,12.1,4.9,41.4,[],"['Heart-Healthy', 'Kosher']","['Comforting', 'Peaceful', 'Romantic']",51.0,73.1,4.0,Trial name possible future for bit now table hair available.
food_000044,Herbed Seafood,South Indian,Lunch,West Bengal,Christmas,Thunderstorm,high,809,36.6,3.0,158.9,[],['Low Carb'],"['Savory', 'Sweet', 'Spicy']",77.2,58.5,3.8,A enter camera which cut exactly law debate doctor where safe positive piece already dinner run actually outside war.
food_000045,Creamy Sandwiches,Latin American,Rice Dishes,South India,Cold Weather,Dry,low,313,17.7,29.0,0.0,"['corn', 'sulphites']","['Low Carb', 'Low Sodium', 'Gluten-Free']","['Happy', 'Relaxed', 'Sweet']",83.7,72.1,3.2,Author door bar who beyond experience follow decade home.
food_000046,Citrus Bread,Spanish,Street Food,Central India,Autumn,Thunderstorm,high,848,18.1,32.1,121.7,"['lupin', 'peanuts']","['Low Sugar', 'Gluten-Free', 'Nut-Free']","['Happy', 'Calm', 'Romantic']",60.2,57.2,4.7,Military couple indeed positive last dinner law soldier fine firm song star accept.
food_000047,Spiced Pasta,Nordic,Dessertbites,Northeast India,Berry Season,Seasonal,low,753,33.5,9.7,132.9,"['sulphites', 'lupin']",['Low Sodium'],"['Adventurous', 'Sweet', 'Sunny']",82.2,62.8,3.3,Guy black until only center ground wish agent.
food_000048,Golden Dinner,Middle Eastern,Healthy Bowls,Himachal Pradesh,Navratri,Holiday,high,133,7.9,26.5,0.0,"['almond', 'corn', 'garlic']","['Heart-Healthy', 'Low Sugar', 'Paleo']","['Social', 'Peaceful', 'Romantic']",49.3,57.1,3.9,Game speech benefit grow enter against security light read save my use know only.
food_000049,Biryani Wrap,Japanese,Pasta,Punjab,Winter,Dry,low,341,13.0,4.6,61.9,['celery'],"['High Protein', 'Low Carb', 'Heart-Healthy']","['Comforting', 'Relaxed', 'Sunny']",67.8,76.4,3.9,Before apply prevent choice letter significant eye religious program difference third environment produce.
food_000050,Citrus Beverages,Mexican,Appetizers,Gujarat,Christmas,Sunny,low,712,19.5,24.3,103.8,[],['Pescatarian'],"['Sweet', 'Sunny', 'Peaceful']",68.1,70.6,3.8,Mention recognize teach sort two view what worker investment fear church though development.
food_000051,Citrus Juices,Latin American,Grills,Assam,Harvest,Cold,high,740,33.0,8.7,132.4,['cashew'],['Low Sodium'],"['Happy', 'Motivated', 'Sweet']",55.5,61.3,4.7,Step perform including no everyone us probably before particularly.
food_000052,Herbed Appetizers,Italian,Sushi,Punjab,Eid,Heatwave,medium,552,19.2,2.5,113.2,[],"['Kosher', 'High Protein', 'Dairy-Free']","['Spicy', 'Energized', 'Motivated']",49.1,90.8,3.6,Manage wall article change customer red mother shoulder before father.
food_000053,Smoked Tea & Coffee,Mediterranean,Grills,South India,Festive,Rainy,low,528,39.7,18.6,50.4,"['celery', 'corn']","['Vegan', 'Kosher']","['Cheerful', 'Relaxed', 'Savory']",64.3,81.2,4.1,Amount government light finish investment but mean wife church seem.
food_000054,Roasted Rice Dishes,Mediterranean,Sushi,Central India,Monsoon,Cold,low,795,27.2,4.9,160.5,"['cashew', 'sulphites', 'tree nuts']","['Gluten-Free', 'Nut-Free', 'Heart-Healthy']","['Cozy', 'Peaceful', 'Comforting']",49.5,85.5,3.7,Series everyone table during heavy his life new back generation good free when hard.
food_000055,Zesty Lunch,French,Plant-based,Gujarat,Summer Vacation,Seasonal,medium,757,14.8,26.9,113.9,['soy'],"['Low Sodium', 'Halal', 'High Protein']","['Energized', 'Cozy', 'Comforting']",65.0,60.6,4.9,Teacher million call drug message little officer area special six.
food_000056,Sambar Salad,Australian,Plant-based,West Bengal,Harvest,Cold,low,471,21.1,14.9,63.1,['sesame'],['Diabetes-Friendly'],"['Comforting', 'Spicy', 'Romantic']",55.6,62.0,3.6,Director court image dream edge consumer politics charge song deep.
food_000057,Spiced Smoothies,Brazilian,Sandwiches,Goa,Winter,Thunderstorm,premium,594,16.2,13.8,101.2,"['peanuts', 'hazelnut']","['Nut-Free', 'Kosher', 'Gluten-Free']","['Adventurous', 'Energized', 'Nostalgic']",56.9,58.5,4.4,Become argue reality avoid six walk increase safe place very machine player for effort.
food_000058,Zesty Wraps,American Comfort,Dessertbites,Kerala,Cold Weather,Festive,high,193,31.5,8.7,0.0,"['egg', 'peanuts', 'garlic']","['Vegetarian', 'Nut-Free', 'Low Carb']","['Sweet', 'Calm', 'Adventurous']",57.6,60.2,3.9,Section responsibility Republican production team green teach camera air positive some direction us what dark author future spend.
food_000059,Zesty Curry,Thai,Dinner,Assam,Cold Weather,Heatwave,medium,100,16.8,16.7,0.0,"['gluten', 'lupin']",['Halal'],"['Calm', 'Romantic', 'Cheerful']",97.0,82.3,3.1,Hard occur door southern stage hold thought real word bring appear conference yes that look.
food_000060,Fresh Lunch,Vietnamese,Rice Dishes,Rajasthan,Monsoon,Cloudy,low,380,9.7,27.8,22.8,"['onion', 'celery']","['Diabetes-Friendly', 'Paleo', 'Vegetarian']","['Social', 'Nostalgic', 'Comforting']",61.7,93.1,4.7,Music her kitchen try admit power fill material room staff thing develop court cause new.
food_000061,Zesty Main Course,Caribbean,Beverages,West Bengal,Ramadan,Cold,premium,164,29.6,3.2,4.2,"['sulphites', 'peanuts']",['Nut-Free'],"['Nostalgic', 'Savory', 'Motivated']",88.6,80.9,3.3,That meet want sea investment property should camera miss well field must.
food_000062,Citrus Grills,Indonesian,Plant-based,Punjab,Summer,Misty,medium,847,27.8,33.4,108.8,"['milk', 'tree nuts', 'egg']",['Halal'],"['Comforting', 'Sunny', 'Energized']",77.2,61.1,4.4,Describe indeed vote person citizen commercial clear scientist that lose fine.
food_000063,Paneer Platter,Caribbean,Rice Dishes,Uttar Pradesh,New Year,Windy,medium,610,16.7,19.9,91.0,"['shellfish', 'sesame oil', 'mustard']","['Diabetes-Friendly', 'Keto', 'Vegan']","['Adventurous', 'Relaxed', 'Motivated']",58.8,66.3,4.8,Age least any he view single plant hope beautiful compare coach out section start.
food_000064,Grilled Plant-based,Spanish,Curry,Himachal Pradesh,Diwali,Humid,low,450,21.3,4.7,80.6,"['gluten', 'lupin', 'yeast']","['Halal', 'High Protein', 'Kosher']","['Spicy', 'Adventurous', 'Relaxed']",52.4,63.6,3.6,Mind economy represent money one gas mother field happy western soldier book affect condition plan find.
food_000065,Fresh Bread,East Asian,Street Food,South India,Summer,Breezy,high,609,15.1,30.8,67.9,['tree nuts'],"['Vegan', 'Pescatarian']","['Romantic', 'Peaceful', 'Adventurous']",78.9,88.6,3.3,Weight simple attack treat human southern energy reach produce fact organization age resource including of store.
food_000066,Golden Curry,Indonesian,Curry,Uttar Pradesh,Monsoon,Cool,medium,175,21.1,6.3,8.5,"['wheat', 'milk']",['Gluten-Free'],"['Energized', 'Sweet', 'Festive']",53.2,95.5,4.5,Work health participant free only play level police itself picture officer doctor threat car will color recently.
food_000067,Fresh Dinner,Vietnamese,Soups,Central India,Christmas,Cool,high,785,4.3,15.7,156.6,['sulphites'],"['Nut-Free', 'Halal', 'Pescatarian']","['Comforting', 'Sunny', 'Adventurous']",55.8,75.8,4.0,Decide should feeling film indeed rate teach bill form management discuss door.
food_000068,Smoked Beverages,North Indian,Appetizers,Delhi,Berry Season,Thunderstorm,medium,415,37.5,25.4,9.1,"['garlic', 'mustard', 'gluten']",['Kosher'],"['Peaceful', 'Motivated', 'Calm']",53.4,63.2,4.2,Impact accept single cut leg right majority part way for.
food_000069,Roasted Juices,Spanish,Breakfast,Gujarat,Thanksgiving,Snowy,high,454,31.0,13.1,53.0,['lupin'],"['Dairy-Free', 'Vegan', 'Low Sugar']","['Peaceful', 'Motivated', 'Spicy']",75.2,72.2,4.7,President new national recently safe evening rather shake theory performance grow deep seem city summer.
food_000070,Idli Bowl,Spanish,Healthy Bowls,Kerala,Harvest,Festive,high,126,3.5,25.1,0.0,['sesame oil'],"['Paleo', 'Low Sodium', 'Dairy-Free']","['Cheerful', 'Focused', 'Sunny']",72.5,89.6,4.2,Accept sometimes kind easy five box phone third light bank step school notice.
food_000071,Golden Appetizers,South Indian,Healthy Bowls,Andhra Pradesh,Autumn,Thunderstorm,medium,822,35.1,22.2,120.5,['milk'],"['Diabetes-Friendly', 'Gluten-Free', 'Low Carb']","['Savory', 'Sunny', 'Adventurous']",59.1,80.7,3.1,Amount continue tax oil raise eight find table discover product build cost bag much tend ability company.
food_000072,Spiced Tea & Coffee,American Comfort,Wraps,Assam,Berry Season,Monsoon,medium,221,21.7,19.9,0.0,"['sulphites', 'soy', 'nightshades']","['Nut-Free', 'Low Carb', 'Low Sodium']","['Festive', 'Happy', 'Social']",70.4,97.9,3.6,Program teach with work black pressure prove enough story image money tonight sing school son none son hit.
food_000073,Roasted Snacks,Caribbean,Seafood,Goa,Cold Weather,Foggy,high,667,27.7,13.6,108.5,['mustard'],['Dairy-Free'],"['Relaxed', 'Comforting', 'Motivated']",88.4,97.1,4.5,Become simply light Congress institution suffer often draw base at second.
food_000074,Spiced Bread,Lebanese,Juices,Jammu & Kashmir,New Year,Stormy,medium,623,10.6,8.5,126.0,"['peanuts', 'almond', 'tree nuts']",['Low Sodium'],"['Cozy', 'Happy', 'Sweet']",62.5,59.3,4.5,Fall carry yourself case lot hard society poor along room during now history exactly contain listen.
food_000075,Creamy Dessertbites,Spanish,Juices,North India,Spring,Humid,high,260,37.5,1.8,23.5,['mustard'],['Vegetarian'],"['Nostalgic', 'Sweet', 'Romantic']",86.8,91.0,3.6,Range bill interest television president meeting agreement when minute.
food_000076,Roasted Tea & Coffee,Australian,Snacks,Andhra Pradesh,Festive,Breezy,premium,270,2.5,12.1,37.8,['soy'],"['Kosher', 'Pescatarian', 'Low Sugar']","['Peaceful', 'Cheerful', 'Relaxed']",80.7,67.7,4.3,Car doctor history protect offer big place design part will.
food_000077,Tandoori Salad,Nordic,Main Course,Andhra Pradesh,Diwali,Holiday,premium,789,11.0,23.5,133.4,"['hazelnut', 'peanuts']","['Dairy-Free', 'Low Sodium', 'Diabetes-Friendly']","['Calm', 'Savory', 'Adventurous']",53.5,75.0,3.3,Car get hope bring amount manager southern control dark major popular candidate report season democratic form.
food_000078,Herbed Grills,Moroccan,Dessertbites,Tamil Nadu,New Year,Festive,medium,537,22.1,13.0,82.9,['wheat'],"['Paleo', 'Gluten-Free', 'Low Sodium']","['Peaceful', 'Motivated', 'Romantic']",50.9,94.4,4.4,Report find American price term best participant bed recent loss cup no.
food_000079,Roasted Juices,Korean,Sushi,Punjab,Cold Weather,Breezy,low,102,17.0,28.7,0.0,[],"['Halal', 'Diabetes-Friendly']","['Relaxed', 'Spicy', 'Energized']",75.7,87.1,5.0,Indicate two off certainly into than participant pattern strategy story people part herself under opportunity television vote.
food_000080,Creamy Smoothies,Indonesian,Wraps,Goa,Christmas,Breezy,high,162,27.9,23.3,0.0,"['peanuts', 'soy']","['Kosher', 'Low Carb', 'Gluten-Free']","['Calm', 'Comfort', 'Sweet']",79.6,78.2,3.9,Phone window she bar later their success call their two find north machine we stuff agency successful cover war.
food_000081,Creamy Pasta,East Asian,Main Course,Tamil Nadu,Autumn,Rainy,medium,96,11.1,2.8,6.6,[],['Vegan'],"['Sunny', 'Motivated', 'Calm']",68.7,80.5,4.5,Effect nature know hit walk with region cost impact guy man then science.
food_000082,Roasted Desserts,Turkish,Pasta,Central India,Navratri,Stormy,high,756,21.8,14.8,133.9,['cashew'],"['Pescatarian', 'Low Carb', 'High Protein']","['Energized', 'Comforting', 'Sunny']",74.5,66.8,4.4,Three determine network must value figure agree ago individual provide school story popular field serve fly.
food_000083,Spiced Curry,Healthy Fusion,Appetizers,East India,Monsoon,Breezy,medium,502,38.8,19.7,42.4,['sulphites'],"['Gluten-Free', 'Heart-Healthy', 'High Protein']","['Comforting', 'Relaxed', 'Spicy']",57.9,60.8,3.1,How less season else politics want certain find executive seek degree.
food_000084,Biryani Salad,Turkish,Juices,Central India,Cold Weather,Dry,medium,390,38.4,1.0,56.9,[],"['Diabetes-Friendly', 'Heart-Healthy', 'Keto']","['Savory', 'Social', 'Sunny']",96.0,95.3,4.1,General fire concern view entire sing occur low hundred especially wish story sort remember between staff study agree can.
food_000085,Citrus Salads,Greek,Seafood,Odisha,Autumn,Monsoon,medium,459,13.9,2.1,96.1,[],"['Pescatarian', 'Paleo']","['Adventurous', 'Social', 'Cheerful']",84.3,92.2,3.8,Hot road ok stuff yeah and school life man measure rather near through figure imagine but a.
food_000086,Grilled Juices,Vietnamese,Juices,South India,Ramadan,Breezy,premium,440,8.4,25.4,44.5,[],"['Vegan', 'Pescatarian', 'Heart-Healthy']","['Relaxed', 'Energized', 'Comfort']",93.6,76.0,3.3,Nation collection decade piece identify go today fight this get opportunity image key notice five send debate.
food_000087,Fresh Breakfast,North Indian,Pasta,South India,Berry Season,Monsoon,medium,86,22.2,14.7,0.0,"['gluten', 'onion']","['Pescatarian', 'Kosher', 'Gluten-Free']","['Romantic', 'Savory', 'Peaceful']",83.3,55.7,3.5,End son traditional television effect near follow side road physical power simply rest per others.
food_000088,Roasted Bread,Japanese,Sandwiches,Jammu & Kashmir,New Year,Stormy,premium,162,26.8,30.1,0.0,"['celery', 'yeast', 'garlic']",['Vegetarian'],"['Focused', 'Relaxed', 'Happy']",50.0,87.7,4.3,Research site threat performance audience exactly themselves blood rock price.
food_000089,Herbed Bread,African,Sushi,West Bengal,Valentine,Rainy,medium,367,36.2,19.9,10.8,"['gluten', 'shellfish']","['Paleo', 'Kosher', 'Pescatarian']","['Sunny', 'Relaxed', 'Nostalgic']",94.2,56.4,4.1,Not purpose try before old forward table certain.
food_000090,Citrus Lunch,East Asian,Plant-based,East India,Summer,Heatwave,premium,180,18.6,29.4,0.0,"['sulphites', 'gluten', 'cashew']","['Heart-Healthy', 'High Protein']","['Calm', 'Comforting', 'Spicy']",85.8,69.6,3.9,Much necessary newspaper against majority among ever four group hear range unit relate air education.
food_000091,Biryani Wrap,British,Dinner,Bengal,Valentine,Snowy,premium,837,16.8,12.9,163.4,"['lupin', 'sesame', 'peanuts']",['Gluten-Free'],"['Focused', 'Cozy', 'Motivated']",95.0,58.9,3.2,Music hair image hard learn trial notice technology ability institution yeah impact official player opportunity study small house.
food_000092,Zesty Soups,South Indian,Appetizers,Telangana,Christmas,Cloudy,high,665,21.8,24.1,90.2,"['garlic', 'tree nuts']",['Low Sodium'],"['Cozy', 'Festive', 'Savory']",59.3,62.3,4.0,Beat course school resource through commercial safe plan program turn yet company century scientist better including network.
food_000093,Creamy Street Food,Korean,Snacks,Kerala,Diwali,Sunny,high,715,16.4,30.2,94.4,['mustard'],"['Low Sugar', 'High Protein']","['Cheerful', 'Focused', 'Sunny']",67.8,73.9,3.6,Quite usually table short generation analysis site situation guy able participant animal cut see enough off go.
food_000094,Smoked Sushi,Australian,Smoothies,Goa,Autumn,Holiday,high,638,8.8,27.0,90.0,['nightshades'],"['Gluten-Free', 'Pescatarian']","['Cozy', 'Happy', 'Adventurous']",83.5,56.2,3.5,Item chance because simply song member but choose would.
food_000095,Zesty Lunch,Turkish,Smoothies,Sikkim,Summer Vacation,Thunderstorm,high,448,28.7,28.5,19.2,[],['Halal'],"['Focused', 'Energized', 'Sunny']",93.5,80.5,4.9,Computer find almost food its hold almost add cell risk too save very but.
food_000096,Citrus Smoothies,Turkish,Tea & Coffee,Jammu & Kashmir,New Year,Breezy,medium,554,31.3,20.8,60.4,[],"['Keto', 'Paleo']","['Cozy', 'Relaxed', 'Romantic']",63.3,76.5,3.7,Security north between door see common arm yeah whole less to executive financial.
